,Accommodation and food services,"Arts, entertainment, and recreation",Construction,Durable goods,Educational services,Finance and insurance,Government,Health care and social assistance,Information,Mining,Nondurable goods,"Other services, except government",Professional and business services,Real estate and rental and leasing,Retail trade,Transportation and warehousing,Wholesale trade,mismatch index
2001-01-01,0.0014212728462375318,0.0006970850698783872,0.003576050304142479,0.000984765238626597,0.00017856276089782964,0.0036009222150733505,0.003183497898399281,0.00323867537868804,0.0012329843483082593,0.0019771317870268673,0.0007036198683976442,0.0010607121578606806,0.011997254533862904,0.003121896300832754,0.0024423437534107054,0.0011334923372527067,0.0031341591187609096,-0.04095641819039475
2002-01-01,0.0015304813083090037,0.0009001419188121155,0.0037564962518835026,0.0012920280382819407,0.000270090807199505,0.004472492217537402,0.004121845710433391,0.004166559345120652,0.0013367041079683662,0.0019135934038313632,0.001003742334632662,0.0010381849068176832,0.016179475023621378,0.00411282506086502,0.002989612019646626,0.0013365177823210458,0.0038042757695035344,-0.03299509298332892
2003-01-01,0.0015644121735035503,0.0008752396686700911,0.003670920786190538,0.001337145034997668,0.00023274648131686585,0.004109771740642506,0.003736673027045304,0.0036161971519538343,0.0014162794164312206,0.0019035473540432056,0.001023989610257997,0.0010386872803502588,0.01893321483654958,0.003962781510340238,0.003233622301156123,0.0013999091049830094,0.004078656430526901,-0.028356552319589
2004-01-01,0.0013925639374406996,0.0007778911308631584,0.0035904687169784964,0.0014442226434161088,0.0002107003900684067,0.004537449456595311,0.0032850766214667054,0.0029508367591432176,0.0015684622773767152,0.0019753770978867317,0.0010433755086174123,0.0009313597135528641,0.015493821148453683,0.0034376591853487416,0.003164058573664592,0.0011647990357836347,0.003976126337298638,-0.04449091976932662
2005-01-01,0.001254329055991463,0.0007235463221384118,0.00323117002887279,0.0014770681651717474,0.00021315145398739877,0.004056728190556556,0.0027690500382887917,0.002472121825467523,0.0015647851259985982,0.0019996980663599994,0.0009239509254016613,0.0007572674052906786,0.014112756947231343,0.0034897215394746324,0.002798261943484473,0.001173963628308513,0.0035762776013610748,-0.047109373572777
2006-01-01,0.001184304425635717,0.000636341133524466,0.0027824012215356526,0.0014318400897176966,0.000184527413204067,0.003613632586867073,0.0026916040441224975,0.0023101904182721076,0.0019730717905179574,0.0018455122670403064,0.000981739375562569,0.0007451408162807329,0.011330657260662912,0.003381015936026367,0.00242871798040114,0.0012020669590998474,0.003636209221419299,-0.05794887617268074
2007-01-01,0.0012061420780171634,0.0006351765077310715,0.0030418982939563275,0.001390823955933822,0.00017846529401330027,0.0031798771958393476,0.002745450392357375,0.002292850583116712,0.001875254673141672,0.0015550505597164955,0.0011843065996880976,0.0008427757843177353,0.01129782933255686,0.003160964326593443,0.0023036364749637692,0.001310308075059757,0.004126736713861214,-0.05414015135723149
2008-01-01,0.0014291662511368404,0.000737987688733202,0.003133499650033782,0.0015878163594641825,0.00024106033319979566,0.003659132912121455,0.0038105722337980815,0.0031216816240303307,0.0016704595920334255,0.0025546072746770163,0.001499358328911978,0.0011539563415412935,0.015422980512916636,0.004749861192382302,0.0031470219577766174,0.0014743719149204492,0.003969459043027605,-0.03932248557156859
2009-01-01,0.002072558633522623,0.0008027422112761283,0.005297918064245796,0.00211151090261141,0.00041571330216609933,0.006533076480728229,0.007438132534588866,0.005260394246764316,0.0028652542808158907,0.003058789681525861,0.002374114158095436,0.0019368733347307494,0.025454872999837286,0.008058431306759442,0.005819987971302756,0.001972731612598372,0.006032574559804814,-0.020614691706797306
2010-01-01,0.0018086715080721598,0.0010157658608351112,0.006911839040647262,0.003660634295837796,0.00038557916463579956,0.0081464310326388,0.0067949761832626744,0.004135237369140999,0.003786543194794557,0.004336110421021388,0.002110260684630413,0.001965339304314974,0.025784777550597236,0.00593415721401571,0.004976640217390272,0.0021481872277799834,0.006024464561869056,-0.040178230829778894
2011-01-01,0.0030841287396915955,0.0018314210218485453,0.009627470184182143,0.0064106877059568355,0.0005805621018652073,0.010502551181575557,0.00890857788146817,0.006350428087768514,0.0063744477207048865,0.006667327452474507,0.003434247566212215,0.0022563842050519474,0.03553419833744186,0.00939432233302012,0.007785812193280239,0.0040993063470513,0.01024993198951727,-0.04353771401403628
