BEA_sector,date,v,u,U_monthly
Accommodation and food services,2000-12-01,556,602,4763
"Arts, entertainment, and recreation",2000-12-01,36,108,4763
Construction,2000-12-01,224,536,4763
Durable goods,2000-12-01,347,384,4763
Educational services,2000-12-01,61,34,4763
Finance and insurance,2000-12-01,272,129,4763
Government,2000-12-01,377,408,4763
Health care and social assistance,2000-12-01,782,292,4763
Information,2000-12-01,193,140,4763
Mining,2000-12-01,8,19,4763
Nondurable goods,2000-12-01,123,290,4763
"Other services, except government",2000-12-01,338,202,4763
Professional and business services,2000-12-01,827,574,4763
Real estate and rental and leasing,2000-12-01,72,92,4763
Retail trade,2000-12-01,542,639,4763
Transportation and warehousing,2000-12-01,93,170,4763
Wholesale trade,2000-12-01,239,144,4763
Accommodation and food services,2001-12-01,412,872,7298
"Arts, entertainment, and recreation",2001-12-01,56,166,7298
Construction,2001-12-01,119,724,7298
Durable goods,2001-12-01,139,792,7298
Educational services,2001-12-01,43,107,7298
Finance and insurance,2001-12-01,179,212,7298
Government,2001-12-01,447,469,7298
Health care and social assistance,2001-12-01,686,434,7298
Information,2001-12-01,106,258,7298
Mining,2001-12-01,16,26,7298
Nondurable goods,2001-12-01,83,407,7298
"Other services, except government",2001-12-01,201,334,7298
Professional and business services,2001-12-01,518,931,7298
Real estate and rental and leasing,2001-12-01,39,74,7298
Retail trade,2001-12-01,369,946,7298
Transportation and warehousing,2001-12-01,103,316,7298
Wholesale trade,2001-12-01,93,230,7298
Accommodation and food services,2001-01-01,598,640,5287
"Arts, entertainment, and recreation",2001-01-01,61,126,5287
Construction,2001-01-01,194,580,5287
Durable goods,2001-01-01,302,481,5287
Educational services,2001-01-01,32,77,5287
Finance and insurance,2001-01-01,238,167,5287
Government,2001-01-01,486,465,5287
Health care and social assistance,2001-01-01,747,341,5287
Information,2001-01-01,229,158,5287
Mining,2001-01-01,12,9,5287
Nondurable goods,2001-01-01,121,340,5287
"Other services, except government",2001-01-01,422,200,5287
Professional and business services,2001-01-01,686,634,5287
Real estate and rental and leasing,2001-01-01,30,74,5287
Retail trade,2001-01-01,496,683,5287
Transportation and warehousing,2001-01-01,190,161,5287
Wholesale trade,2001-01-01,238,151,5287
Accommodation and food services,2001-06-01,464,673,5644
"Arts, entertainment, and recreation",2001-06-01,59,87,5644
Construction,2001-06-01,192,555,5644
Durable goods,2001-06-01,235,623,5644
Educational services,2001-06-01,48,80,5644
Finance and insurance,2001-06-01,266,155,5644
Government,2001-06-01,559,445,5644
Health care and social assistance,2001-06-01,724,346,5644
Information,2001-06-01,114,173,5644
Mining,2001-06-01,18,24,5644
Nondurable goods,2001-06-01,111,347,5644
"Other services, except government",2001-06-01,240,233,5644
