year,BEA_sector,v,u,U_yearly
2001,Accommodation and food services,6088,8467,71935.0
2001,"Arts, entertainment, and recreation",808,1571,71935.0
2001,Construction,2093,7341,71935.0
2001,Durable goods,2469,7608,71935.0
2001,Educational services,598,1112,71935.0
2001,Finance and insurance,2703,2175,71935.0
2001,Government,5798,5154,71935.0
2001,Health care and social assistance,8732,4443,71935.0
2001,Information,1608,2280,71935.0
2001,Mining,172,279,71935.0
2001,Nondurable goods,1362,4354,71935.0
2001,"Other services, except government",2753,2766,71935.0
2001,Professional and business services,8385,9261,71935.0
2001,Real estate and rental and leasing,657,863,71935.0
2001,Retail trade,5154,9391,71935.0
2001,Transportation and warehousing,1561,2872,71935.0
2001,Wholesale trade,1708,1998,71935.0
2002,Accommodation and food services,4258,9484,89265.0
2002,"Arts, entertainment, and recreation",661,2071,89265.0
2002,Construction,1371,9552,89265.0
2002,Durable goods,1798,9444,89265.0
2002,Educational services,665,1498,89265.0
2002,Finance and insurance,2245,2589,89265.0
2002,Government,5133,6180,89265.0
2002,Health care and social assistance,7903,5329,89265.0
2002,Information,996,3032,89265.0
2002,Mining,94,405,89265.0
2002,Nondurable goods,1149,4979,89265.0
2002,"Other services, except government",1821,3597,89265.0
2002,Professional and business services,7115,12124,89265.0
2002,Real estate and rental and leasing,575,1250,89265.0
2002,Retail trade,4034,12000,89265.0
2002,Transportation and warehousing,1126,3277,89265.0
2002,Wholesale trade,1306,2454,89265.0
2003,Accommodation and food services,4173,10212,92362.0
2003,"Arts, entertainment, and recreation",613,1853,92362.0
2003,Construction,1246,9721,92362.0
2003,Durable goods,1547,9144,92362.0
2003,Educational services,551,1750,92362.0
2003,Finance and insurance,1968,2613,92362.0
2003,Government,4338,6785,92362.0
2003,Health care and social assistance,6614,5929,92362.0
2003,Information,868,2946,92362.0
2003,Mining,83,442,92362.0
2003,Nondurable goods,1006,4834,92362.0
2003,"Other services, except government",1710,4153,92362.0
2003,Professional and business services,7968,12511,92362.0
2003,Real estate and rental and leasing,519,1214,92362.0
2003,Retail trade,4015,12130,92362.0
2003,Transportation and warehousing,1078,3410,92362.0
2003,Wholesale trade,1287,2715,92362.0
2004,Accommodation and food services,4727,9862,84290.0
2004,"Arts, entertainment, and recreation",680,1794,84290.0
2004,Construction,1591,9227,84290.0
2004,Durable goods,2011,7055,84290.0
2004,Educational services,631,1523,84290.0
2004,Finance and insurance,2697,2746,84290.0
2004,Government,4616,6583,84290.0
2004,Health care and social assistance,6752,5860,84290.0
2004,Information,1123,2266,84290.0
2004,Mining,115,251,84290.0
2004,Nondurable goods,1175,4492,84290.0
2004,"Other services, except government",1856,3883,84290.0
2004,Professional and business services,8088,10316,84290.0
2004,Real estate and rental and leasing,554,1249,84290.0
2004,Retail trade,4864,11820,84290.0
2004,Transportation and warehousing,1111,2839,84290.0
2004,Wholesale trade,1556,2524,84290.0
2005,Accommodation and food services,5428,9305,78080.0
2005,"Arts, entertainment, and recreation",806,1750,78080.0
2005,Construction,1917,8384,78080.0
2005,Durable goods,2519,5814,78080.0
2005,Educational services,818,1565,78080.0
2005,Finance and insurance,2990,2195,78080.0
2005,Government,4783,6407,78080.0
2005,Health care and social assistance,7156,5972,78080.0
2005,Information,1318,1962,78080.0
2005,Mining,165,227,78080.0
2005,Nondurable goods,1204,3910,78080.0
2005,"Other services, except government",1807,3607,78080.0
2005,Professional and business services,9564,9510,78080.0
2005,Real estate and rental and leasing,731,1065,78080.0
2005,Retail trade,5354,11433,78080.0
2005,Transportation and warehousing,1440,2788,78080.0
2005,Wholesale trade,1755,2186,78080.0
2006,Accommodation and food services,6151,8600,71945.0
2006,"Arts, entertainment, and recreation",837,1771,71945.0
2006,Construction,2058,8099,71945.0
2006,Durable goods,2815,4914,71945.0
2006,Educational services,846,1373,71945.0
2006,Finance and insurance,3173,2125,71945.0
2006,Government,5410,5690,71945.0
2006,Health care and social assistance,8068,5428,71945.0
2006,Information,1925,1509,71945.0
2006,Mining,207,267,71945.0
2006,Nondurable goods,1419,3459,71945.0
2006,"Other services, except government",2073,3510,71945.0
2006,Professional and business services,9174,8955,71945.0
2006,Real estate and rental and leasing,848,1047,71945.0
2006,Retail trade,5340,10724,71945.0
2006,Transportation and warehousing,1783,2741,71945.0
2006,Wholesale trade,2166,1733,71945.0
2007,Accommodation and food services,6417,8865,72680.0
2007,"Arts, entertainment, and recreation",849,1912,72680.0
2007,Construction,2179,9020,72680.0
2007,Durable goods,2560,5242,72680.0
2007,Educational services,820,1684,72680.0
2007,Finance and insurance,2666,2283,72680.0
2007,Government,5503,6036,72680.0
2007,Health care and social assistance,8281,5190,72680.0
2007,Information,1766,1445,72680.0
2007,Mining,180,299,72680.0
2007,Nondurable goods,1617,3241,72680.0
2007,"Other services, except government",2349,2885,72680.0
2007,Professional and business services,9285,8878,72680.0
2007,Real estate and rental and leasing,757,1201,72680.0
2007,Retail trade,5020,9995,72680.0
2007,Transportation and warehousing,1969,2814,72680.0
2007,Wholesale trade,2528,1690,72680.0
2008,Accommodation and food services,4732,10901,92146.0
2008,"Arts, entertainment, and recreation",610,2331,92146.0
2008,Construction,1208,12454,92146.0
2008,Durable goods,1678,7221,92146.0
2008,Educational services,741,2231,92146.0
2008,Finance and insurance,1829,3102,92146.0
2008,Government,4906,6368,92146.0
2008,Health care and social assistance,7461,6147,92146.0
2008,Information,924,2010,92146.0
2008,Mining,225,303,92146.0
2008,Nondurable goods,1214,4184,92146.0
2008,"Other services, except government",2035,3975,92146.0
2008,Professional and business services,7847,11124,92146.0
2008,Real estate and rental and leasing,714,1482,92146.0
2008,Retail trade,4179,12364,92146.0
2008,Transportation and warehousing,1350,3797,92146.0
2008,Wholesale trade,1433,2152,92146.0
2009,Accommodation and food services,2759,15192,149863.0
2009,"Arts, entertainment, and recreation",257,3372,149863.0
2009,Construction,620,21524,149863.0
2009,Durable goods,701,15382,149863.0
2009,Educational services,564,3252,149863.0
2009,Finance and insurance,1300,4757,149863.0
2009,Government,4143,9521,149863.0
2009,Health care and social assistance,5600,9907,149863.0
2009,Information,601,3517,149863.0
2009,Mining,87,1082,149863.0
2009,Nondurable goods,700,7344,149863.0
2009,"Other services, except government",1387,5724,149863.0
2009,Professional and business services,4885,18348,149863.0
2009,Real estate and rental and leasing,466,2446,149863.0
2009,Retail trade,3019,18798,149863.0
2009,Transportation and warehousing,673,6327,149863.0
2009,Wholesale trade,819,3370,149863.0
2010,Accommodation and food services,2892,15629,153280.0
2010,"Arts, entertainment, and recreation",406,3475,153280.0
2010,Construction,871,21561,153280.0
