OCC_TITLE,accom,const,dur,edhealth,fin,gov,info,mining,nondur,other,profserv,trade,trans
Eng,1730.0,93640.0,641020.0,22670.0,8900.0,286690.0,38700.0,23740.0,104330.0,12160.0,1060360.0,63930.0,49140.0
Arts,153650.0,10610.0,39220.0,275150.0,36950.0,72050.0,413900.0,310.0,43830.0,79060.0,441730.0,239780.0,2080.0
Clean,599120.0,38920.0,25900.0,849800.0,129020.0,203980.0,4340.0,1000.0,44720.0,82640.0,1943620.0,140010.0,40320.0
Bus Ops,156990.0,398740.0,394910.0,786760.0,1844540.0,1111990.0,301210.0,22120.0,157120.0,281320.0,2863260.0,545350.0,47220.0
Soc S,1420.0,210.0,40.0,1523060.0,20360.0,521340.0,790.0,0.0,150.0,106290.0,37760.0,2370.0,0.0
Math,14840.0,19100.0,245210.0,352100.0,477560.0,275080.0,656620.0,5640.0,38830.0,40900.0,2253580.0,219290.0,19080.0
Cons,9750.0,4397300.0,172010.0,56510.0,31030.0,444400.0,5900.0,192230.0,22170.0,14060.0,361440.0,67520.0,73800.0
Educ,45230.0,220.0,320.0,7825510.0,1060.0,194020.0,16580.0,0.0,90.0,53470.0,45430.0,8330.0,70.0
Agg,3850.0,1050.0,7430.0,6540.0,550.0,20570.0,0.0,130.0,24550.0,2390.0,20410.0,68330.0,380.0
Food S,9429980.0,800.0,630.0,853530.0,18480.0,60510.0,13930.0,90.0,99880.0,62620.0,97480.0,557870.0,0.0
Health P,11090.0,130.0,6280.0,7169250.0,63700.0,454750.0,4600.0,0.0,4000.0,13930.0,481860.0,576370.0,90.0
Health S,8740.0,0.0,1130.0,6089350.0,3160.0,136250.0,380.0,0.0,500.0,55300.0,265780.0,40200.0,0.0
Repair,207020.0,656650.0,343410.0,326340.0,438520.0,411030.0,217020.0,45180.0,269800.0,652550.0,395530.0,1109630.0,492340.0
Legal,800.0,2110.0,4560.0,12130.0,73190.0,267750.0,12730.0,1260.0,1560.0,9120.0,783400.0,6730.0,1170.0
Science,2560.0,17530.0,31470.0,284440.0,4130.0,333860.0,3510.0,11390.0,107090.0,14460.0,417040.0,20980.0,10470.0
Manag,540370.0,535260.0,489090.0,1545650.0,977320.0,625530.0,310540.0,38740.0,246510.0,301050.0,2004200.0,1031560.0,254190.0
Admin,573220.0,681280.0,600350.0,3780640.0,2486800.0,1539660.0,357910.0,39180.0,375480.0,542750.0,3553950.0,2273640.0,1474630.0
Care,652510.0,500.0,50.0,733270.0,20030.0,182000.0,34680.0,40.0,840.0,759770.0,80370.0,86370.0,9000.0
Prod,98600.0,116110.0,3779520.0,88860.0,12750.0,167960.0,19080.0,33270.0,2260630.0,214120.0,791410.0,656200.0,156680.0
Prot S,148280.0,6900.0,7610.0,258160.0,34480.0,1925680.0,3210.0,1610.0,3520.0,32480.0,852980.0,60030.0,5830.0
Sales,579850.0,154300.0,216880.0,101880.0,1389080.0,53690.0,306740.0,9480.0,194870.0,150700.0,902460.0,9110580.0,82360.0
Trans,319050.0,237440.0,504740.0,380400.0,126820.0,386880.0,26460.0,66200.0,583040.0,350280.0,1369220.0,3982470.0,4260870.0
