BEA_sector,Accommodation and food services,"Arts, entertainment, and recreation",Construction,Durable goods,Educational services,Finance and insurance,Government,Health care and social assistance,Information,Mining,Nondurable goods,"Other services, except government",Professional and business services,Real estate and rental and leasing,Retail trade,Transportation and warehousing,Wholesale trade
Accommodation and food services,1.02936657212462,0.009289884721749173,0.03109981664979786,0.18983906716125276,0.00027526941522914043,0.14139023097785064,0.01710576056605637,6.95222968516961e-05,0.04946912840154874,0.10660362928899993,0.34120597622649057,0.03309833265075831,0.42587897029905086,0.1724913426614918,3.083388578716712e-07,0.025373073737369075,0.005540533443592086
"Arts, entertainment, and recreation",0.030859017132386264,1.0836268681150152,0.03902967209810281,0.18832615590175594,0.008564396791824497,0.17049142802369346,0.008630084125377599,0.000475397563319368,0.048980432660104344,0.0789413554678998,0.22605045570219437,0.034025061739203756,0.4048608822987042,0.2523758942188141,3.169721202085635e-07,0.0410237174334636,0.005986871299250565
Construction,0.013616329518803316,0.004070894553066672,1.0194286998856597,0.8236662734136794,0.0001466320563795085,0.1045274887711093,0.004527090051539886,2.6974392595421114e-05,0.03538214248295816,0.1463059452975121,0.36411939809149185,0.02002158927794273,0.2654997479137559,0.09211764094313755,1.8651797466284517e-07,0.01697861984331488,0.008829464483752183
Durable goods,0.01852087063007734,0.004924776142322029,0.02249855810192247,2.148399980771433,0.00017475749413008846,0.12427882407126524,0.007024918124426407,3.600032374067438e-05,0.040092303312954373,0.15285326625431075,0.3652923048150694,0.021510565196551687,0.31448577945648654,0.09336384683239485,2.003890399816533e-07,0.025317818181721803,0.016927654877165514
Educational services,0.022883353936930674,0.008117011711533954,0.034177569995755615,0.16560773255794373,1.013360375017146,0.13130802392536509,0.007708237554616361,3.646774709880783e-05,0.05686486400185911,0.05968537410452654,0.1809894381808587,0.026645425271013705,0.24555198322681357,0.22902532638138298,2.4822458829753467e-07,0.023098445740150835,0.00468884950037631
Finance and insurance,0.03360520348737787,0.008221263988975753,0.027707925745419547,0.10318329020313807,0.0002795705173167121,1.6231411019837891,0.012636631005960441,5.439114347412179e-05,0.06418316498130151,0.03893841072727826,0.12168133064258377,0.03492058598419277,0.3467977958343424,0.1310457148829025,3.253146831349162e-07,0.032867368228818555,0.003290656215780092
Government,0.01621907271005451,0.005813852279917046,0.03878713037657657,0.20172190904488912,0.0034746026334003957,0.1071359687719353,1.0063238156789691,0.0025761392170162265,0.053664762954382834,0.1056063316231377,0.29307258004085485,0.019804139519161244,0.2392025636137682,0.08109766964310457,1.844922469328528e-07,0.02915175675023834,0.004474991201442483
Health care and social assistance,0.033224204513134924,0.005266025731684484,0.024519564341804686,0.1983401093645897,0.00023959562042601506,0.1569750802275839,0.00836880222967833,1.0128490351326926,0.037500824713466545,0.08405894465312766,0.26996386794420246,0.024933235033025483,0.27893040455156276,0.1473967655718568,2.3227409350944693e-07,0.022458791100445002,0.005134366809476348
Information,0.026668680524184734,0.04558060499836841,0.028424056201068106,0.3018878621485907,0.0011421792072229503,0.12950972788355283,0.011623730522432913,7.002878412747422e-05,1.324262431767161,0.07562340031103867,0.22945349638068013,0.026414332741413995,0.4409114724965566,0.1563060002748492,2.460717666617349e-07,0.0420084672952123,0.011112198635038624
Mining,0.02023614390358864,0.005237030887226827,0.046078073051895325,0.4680306693720216,0.0001789418941569542,0.2558391086482253,0.0058699260582954355,3.67965088832885e-05,0.040901283876229856,1.388851203903018,0.36321204880494323,0.02250594224544742,0.39345687740926044,0.12997413281104084,2.096618159141036e-07,0.03062570414026421,0.008609491720508074
Nondurable goods,0.02128390107399924,0.00552825895358631,0.039530201206906604,0.4506218063435317,0.00023916518491037272,0.17215304265255407,0.008050956386038704,4.19998985365022e-05,0.04189384344892619,0.5842799788413897,1.9707936393316903,0.025974546139756454,0.37512529206664397,0.11460187306398918,2.4197478389546727e-07,0.02961793755453828,0.018902662748872038
"Other services, except government",0.020220859676003584,0.007897249729768626,0.03263874460812316,0.2829195890919725,0.002689606373183493,0.20710257364232673,0.009670970975712805,0.00014405806937387743,0.04796028591332523,0.0681089469041368,0.20236311642059995,1.0284808001667596,0.27318028508689657,0.17050347101787258,9.581165269335574e-06,0.02224505156449873,0.005095204175591122
Professional and business services,0.03154135950684222,0.009771572947278222,0.021915641114801078,0.1728480113959144,0.0002868102894408866,0.13135389394579813,0.008560245096592665,8.950144759139852e-05,0.0604017615815782,0.047857050720140466,0.14478488728594857,0.024235564528216604,1.3804656659481143,0.1382400688524931,2.2577470488786958e-07,0.03195632130841529,0.003873926108163923
Real estate and rental and leasing,0.05570227783974128,0.013446274273221282,0.17054580886983123,0.30007606666775494,0.00036860569682358786,0.4442812947278736,0.011642227331977728,6.686759828411342e-05,0.07820362095125896,0.0747022714929319,0.21828663430314188,0.05173944238668799,0.5992273067294702,1.299445412283875,4.819965023846301e-07,0.0423193867230145,0.01491178139224836
Retail trade,0.020191150794846405,0.0065949806415480615,0.029113834378920612,0.16380003271098956,0.0021306356157309277,0.14312219707526977,0.012862033318309518,5.3349394931396824e-05,0.04888106047013271,0.05342561031235409,0.16663540049005368,0.026794842045228973,0.34355359269406505,0.1753863440778106,1.0015767658979926,0.08726779620087687,0.013592587513807949
Transportation and warehousing,0.0291892719283092,0.005291998508377853,0.0334201098028315,0.2517989618960272,0.00030445302812950615,0.20671894353115586,0.01979524000090791,6.917017703315684e-05,0.039103276238458405,0.1531708732003328,0.5003454548808695,0.03729591007774723,0.29026450524503267,0.15056523909934022,3.4744282855570563e-07,1.2140967077399265,0.007030310168011675
Wholesale trade,0.019342606539005068,0.006571015115503921,0.02262876243732502,0.15002389291995408,0.0008440867657318007,0.14426946849712866,0.02440910662842444,8.438909166840776e-05,0.04914637349427357,0.054135143580657574,0.1698857193064406,0.03203808226681438,0.3689730032515052,0.13234292790531704,2.984617321598483e-07,0.082515934636826,1.0312151762678494
