OCC_TITLE,Accommodation and food services,"Arts, entertainment, and recreation",Construction,Durable goods,Educational services,Finance and insurance,Government,Health care and social assistance,Information,Mining,Nondurable goods,"Other services, except government",Professional and business services,Real estate and rental and leasing,Retail trade,Transportation and warehousing,Wholesale trade
Eng,0.00013133574862978374,0.0005541727929988436,0.021981119685306732,0.21477559205194488,0.007620676731469647,0.0005958158352473116,0.09185494126729388,0.0015856389163839745,0.014014485372080582,0.015811542810649087,0.030341761244422234,0.0023992798957001957,0.2694785330117209,0.0008008277355474619,0.0012332747127430912,0.00797944755699491,0.017586177072622264
Arts,0.008535770246430645,0.10351949859198141,0.002980397313259481,0.02150926443356015,0.13602445678971764,0.008678215706255547,0.03438414253311857,0.01918082903257618,0.24961375365701324,0.00020271084667389851,0.01967390947043161,0.044382718078520324,0.17312054173104105,0.007100358305118175,0.053252687288386315,0.0017203028609622739,0.03369382992012097
Clean,0.13432389656554797,0.03972062779957315,0.007642414706434413,0.007287869694280239,0.11774370335010277,0.0025698720162024755,0.05472969998076651,0.10405316784809716,0.00295222448029031,0.0003800351764266961,0.008731539907169456,0.0234138745281423,0.00658109695763303,0.036353608827939074,0.02871582869682694,0.007779134678441577,0.006319243451924392
Bus Ops,0.005965515733628719,0.0071927241987436415,0.027463526256722683,0.046835055603328915,0.03713981723047325,0.18893763390709944,0.14320444243634403,0.039824517934442,0.026565711037588726,0.004407456530293976,0.017545291571322383,0.03395665418081649,0.1649108743495941,0.013964233140458526,0.01896488901196601,0.014076460042850273,0.03760038477795106
Soc S,0.0001275130700896842,0.0004462957453138947,0.00010094784715433332,2.12521783482807e-05,0.15336634505036767,0.002922174522888596,0.24894270412717304,0.5139254898627109,0.00021783482806987716,0.0,4.25043566965614e-05,0.05772091639393038,0.004818931440472648,0.0007650784205381052,0.0003134696306371403,5.844349045777192e-05,0.0001275130700896842
Math,0.0006136255951779902,0.0016544588832014169,0.002845462148103845,0.0637316203599419,0.05422948561604644,0.08580919609868756,0.06374974432266868,0.028519349919348364,0.11364760284701562,0.002459680655776754,0.009815420385315448,0.007772590872254543,0.32370174171281807,0.003026701775371606,0.01367064617105396,0.0073893985174598486,0.046456894743791895
Cons,0.0007079933611114335,0.0018048027484070148,0.6764334931154417,0.031826816312476545,0.007735697953783122,0.00019537521713730815,0.08574457301810219,0.0033252475075151756,0.0010639244497576187,0.06147548911508568,0.005172607233912495,0.0027720067936412135,0.011538744259643992,0.004371762284458579,0.006888427210157964,0.005636865175624911,0.0037585549197800966
Educ,0.00010592098294672174,0.003968425917901609,1.8054713002282114e-05,6.499696680821561e-05,0.9018172670460564,0.00012879028608294576,0.02459292640417521,0.055474911170812026,0.0019908330203849745,0.0,2.6480245736680435e-05,0.007959721138939443,0.0018355624885653483,2.4072950669709488e-05,0.0007703344214307036,0.00012999393361643122,0.0001504559416856843
Agg,0.002155269184140811,0.006106596021732298,0.001257240357415473,0.014839926361636209,0.007004624848457636,0.0005837187373714697,0.05439809617888734,0.0021328184634726776,0.0,0.0003816622513582686,0.046832203313726374,0.0025369314354990796,0.008127160881864309,0.0023348749494858786,0.04339724305150195,0.004130932602936554,0.0996138476045081
Food S,0.8115009960357173,0.02532529827103397,0.0,4.4037990106131555e-05,0.03724059680974984,8.289504019977704e-05,0.010085563224306208,0.04566825923006051,0.0039003843393999264,3.97205400957265e-05,0.0030403482973272392,0.007966558759199407,0.0006113509214733557,0.0015620534137645488,0.04170656710051283,0.0006260302515087329,0.0003402150608199183
Health P,0.00037806641192812565,0.0009243071933001417,0.0005462407813720161,0.0015122656477125026,0.034045532232768974,0.0040792062169762245,0.05961585845193537,0.778954998363885,0.00017469275585644428,0.00048757530365903105,0.0011837389725197866,0.0015774495118380417,0.02206734536105994,0.0006218540637576412,0.06382282504259766,0.0006635717367979861,0.002273613180698797
Health S,0.001889577194335354,0.0010801231800052092,0.0,6.128358468114661e-05,0.010144986747424813,0.00037025499078192746,0.03481418306428137,0.8833313756632671,0.0,0.0,0.0001583159270929621,0.010691432044165037,0.01719770595114677,0.00042132464468288297,0.011518760437360515,1.5320896170286653e-05,0.00029875747532058977
Repair,0.017949668874172185,0.011781015452538632,0.0859532008830022,0.05906401766004415,0.02597086092715232,0.00154878587196468,0.06936335540838852,0.02427373068432671,0.049317439293598234,0.01024812362030905,0.04564415011037527,0.11181456953642384,0.010993377483443709,0.05839646799116998,0.12296335540838853,0.05282825607064018,0.06382869757174393
Legal,6.812055391741842e-05,0.00034060276958709215,0.001012076801058788,0.0036882414192430835,0.003697972926945572,0.04772331377300285,0.250965852139472,0.004603003143276988,0.007405677361593632,0.0026177755719693652,0.0014694576630757403,0.007989567823742933,0.6052900475870726,0.0067439348378244245,0.0011969754474060667,0.0017808659095553674,0.0032697865880360845
Science,6.585229330611439e-05,0.0018932534325507885,0.0004445029798162721,0.012363768068222977,0.14420829080372724,0.0022801356557242106,0.24703664680122486,0.07559020117875605,0.001489908136050838,0.019451121135293535,0.07894866813736788,0.00791050673339699,0.2663972210332225,0.00011524151328570017,0.00020578841658160744,0.0011277205228672088,0.008881828059662178
Manag,0.041459836667369264,0.009847206327335795,0.0498202718626795,0.0656881232308343,0.08379532636111704,0.060398839441449366,0.07884979650615857,0.08847915054583315,0.027187682575070624,0.006770396420432282,0.030305516614066184,0.02598666574244484,0.08795715383059297,0.027653094280528673,0.04747482320721006,0.023243707393255916,0.052677814856677246
Admin,0.018480669090249164,0.007813406980824994,0.025425376091935414,0.03091201932935294,0.05747075310016471,0.11348032881606379,0.0755270802651203,0.12099838670003875,0.02293981772868538,0.0027284207230092515,0.019197246492395872,0.024503299769992444,0.07439105376910372,0.01852915260162967,0.11363512021019603,0.06050208456858793,0.0575147885829782
Care,0.036049605600835505,0.14900311215841044,0.00026240796040788694,2.0992636832630956e-05,0.05997596343082664,0.0002571598011997292,0.08191851708013415,0.39402916926887893,0.01392336637924248,0.0,0.00014170029862025895,0.19930671816860238,0.009084563589321045,0.005626026671145096,0.01903244936838404,0.007294941299339257,0.0003358821893220953
Prod,0.00492248906284248,0.0003427784033218095,0.0055978034869167215,0.256105996368734,0.0011635346598812021,8.740166459201518e-05,0.011259792571268206,0.006663694099636532,0.0030228685089753998,0.003640142765156507,0.15706079127185127,0.018899927142518657,0.007892780007961746,0.0006008864440701043,0.027567031272725286,0.0048965416936667255,0.019042637672985308
Prot S,0.02196005683122491,0.026895563317801945,0.0011322815006917775,0.0034588873240310463,0.03677278057315159,0.0027826205647137653,0.592583401063414,0.02276040923445362,0.0011229750773984204,0.00035984836734314024,0.001439393469372561,0.013112750420340118,0.004668722352167466,0.008537092301106223,0.015960515948107382,0.005707939619925673,0.001256367144603205
Sales,0.02360267851174716,0.010980575372017475,0.00832373488728481,0.014609808216363632,0.002886218132514141,0.05515477010519709,0.004877441271230625,0.00453126396230889,0.024461085659886424,0.0006480270356034919,0.011936081033634784,0.014710424791924219,0.024179640693283388,0.0330507860406111,0.5880342265223886,0.004772603021170994,0.1060006177717017
Trans,0.020130118167285715,0.004032782486786954,0.01900466668100363,0.04550449207729261,0.027391789222086703,0.00031029281195948374,0.03973284096110894,0.012435266058165053,0.004185368721050858,0.011525893064699635,0.056212154261610636,0.03555566478954877,0.006039957112003416,0.012497734248031484,0.1046649400868615,0.28374587940362334,0.11498857651380394
