NAICS_TITLE,Eng,Arts,Clean,Bus Ops,Soc S,Math,Cons,Educ,Agg,Food S,Health P,Health S,Repair,Legal,Science,Manag,Admin,Care,Prod,Prot S,Sales,Trans
Accommodation and food services,9.04335134073062e-05,0.0024597482358222024,0.04966318056727416,0.007429025713839024,3.108807712864976e-05,0.0004884902078512876,0.0006521543953660902,0.0001131260584403644,9.308306543531612e-05,0.7438159965195484,0.0005530732272485613,0.001003236645956213,0.012724638928447607,2.505147668192744e-05,1.4260779747340017e-05,0.06920193891107394,0.041257823238293266,0.013325759630378464,0.006554614665661793,0.007251320410292024,0.027575348605976244,0.015676607126129758
"Arts, entertainment, and recreation",0.002174654509841487,0.1581680530683793,0.0674493179943519,0.047063599881567456,0.0005118460334278703,0.0061591570370004905,0.007606643036180672,0.02144084200747442,0.001125404466002135,0.10311962785297199,0.005113891440026642,0.002759983205950732,0.037204091524429814,0.0007733104772143562,0.0018641397779831264,0.09968505011647937,0.08161518621904604,0.2394181622174076,0.0028788177489033283,0.033231446476126664,0.06278451097845375,0.017852263930780835
Construction,0.01797364968443941,0.0009407727073365633,0.0033479305619191382,0.04463724363723986,0.0,0.0027502721272556394,0.575800947809569,2.9696404008295414e-05,6.234194794128052e-05,0.0,0.0009753910560180778,0.0,0.08103388232631002,0.0004282754470375835,0.00011313407405734259,0.13323215952991993,0.07374144416792462,9.810942152641976e-05,0.012469667207215533,0.00047261102140938637,0.025261122334639792,0.02663134853423212
Durable goods,0.06926150182171789,0.002935293659020618,0.0011293930991605877,0.029973213272955296,0.0,0.02960447221575589,0.009733358581459024,4.42478528091003e-05,0.0002797707101873755,1.7594594443422496e-05,0.001030613719324201,1.159872343881278e-05,0.021249449665460444,0.0007032742696378071,0.0014268093011657315,0.07525925789942312,0.03539637005563619,3.178748090695546e-06,0.18228490208194134,0.0006026011334268163,0.019614745429962496,0.019438353164983158
Educational services,0.0026359572874600757,0.01632108980855292,0.023671314942609843,0.023786590428419647,0.025554445167789767,0.019604055297556648,0.003013587840900115,0.622945329394663,0.00016557719063727534,0.016152156094427876,0.027123885952721763,0.002059189802253787,0.009600287229506002,0.0006081548411374181,0.01628740104281176,0.08857062612085913,0.07033300189756748,0.00919136679493309,0.0012169752106880485,0.0062387735343541395,0.0025934976734468718,0.0123267364467034
Finance and insurance,0.0005233669703483774,0.0028589667778190064,0.0008166111133943553,0.27961543660645605,0.0008694943112763707,0.08104325774145098,0.00015092816365413773,0.0001799826612838934,2.2589364533970514e-05,9.06779659101258e-05,0.006138911451650043,0.00014565411465004485,0.001106901672024401,0.01355795142401661,0.000677843529379042,0.16638532249573687,0.2665717039368191,0.00010351465318950815,0.00015448006823987168,0.001137915478128092,0.17749529987558196,0.00035318962445717787
Government,0.04348478955848044,0.0068702086607844845,0.0140830769116732,0.12675584746292998,0.04323103452042229,0.03560218539120001,0.037266224474103216,0.017733183218550278,0.0017524594972978384,0.005978869996771583,0.061393278317319486,0.00795612466095096,0.036366068498257624,0.041691616498730974,0.03773551048553822,0.09624456469046672,0.12329299579142732,0.01628873430005131,0.015625205305870228,0.19182643674547492,0.004535334610095496,0.03428625040360343
Health care and social assistance,0.00041041987649027085,0.002007980511935591,0.01277691684205787,0.018272784311033352,0.044183140366297245,0.008465217711243339,0.0009798774551205217,0.016642897412383187,2.5116035365284138e-05,0.01447854643978065,0.5311375246216944,0.11189827011118404,0.00635407674051049,0.0005709110200606321,0.00791859617479481,0.06673011406889608,0.10633066791555001,0.038114497856505974,0.003221950789074754,0.0027509196966616265,0.0029967319673679265,0.0037328420759919338
Information,0.020725119852628742,0.17050507515837693,0.0020694284980184033,0.08209969147199832,0.00011612484394814859,0.21119625026207828,0.0020397649964696524,0.0042725663414022895,0.0,0.005110078528791978,0.0005055211678634967,0.0,0.08999367550893787,0.005400187666858612,0.0008351433118891329,0.15094699787880875,0.11399340074028677,0.0073246176381299944,0.00949204405903775,0.0007988784355390069,0.11441526674530927,0.008160166893626601
Mining,0.12427524301804099,0.0004888473104852083,0.0009008399828619844,0.049666234670866956,0.0,0.019042321494493093,0.31827361188418285,0.0,0.00013229992032834137,0.0002800929269248556,0.005582519561048178,0.0,0.060597584302234817,0.007064478756163812,0.05264079560662747,0.13851195288130386,0.04989445229670629,0.0,0.05419786762604732,0.0006960599676795601,0.014210938601221365,0.10354385919278304
Nondurable goods,0.020688832433376818,0.004570847112339132,0.0026964727760510725,0.021725912178593723,8.819127687434017e-06,0.00767706033852947,0.0036890419726863747,3.057258134310556e-05,0.001455319664644393,0.0020858746478777746,0.001589110158352211,6.56123080934231e-05,0.032766734892262894,0.0005927163619808462,0.017285394208407273,0.06597682360689161,0.04204991455248463,3.966239619351123e-05,0.2058873156710627,0.0004025263412660725,0.024235264246522486,0.04448017242335307
"Other services, except government",0.0037523392410133897,0.031161659529246013,0.0181675873315285,0.0978239023410753,0.031167484610254797,0.014177748987075103,0.00487834286102709,0.016581466732721855,0.00022841647221360915,0.014086029371653222,0.005282363550970413,0.010840161526504381,0.1759779627436408,0.0059894487898346244,0.0041389262036220014,0.1286105806908875,0.12353831803424266,0.1452121997129582,0.054681920814464345,0.007361369893448603,0.04694512738472968,0.05939664317688792
Professional and business services,0.11582786875636512,0.033509531156410075,0.0013388166586470209,0.15439010021159758,0.0007193396236938553,0.1870216967164041,0.005533501103898013,0.0015712135113154552,0.0002023818872691182,0.0003074150427621267,0.017126501339125116,0.0029053460082549385,0.005263094818578656,0.11336988135456125,0.04058665507154169,0.15346398641722625,0.11087388804733664,0.0013572827669207197,0.00842537961815925,0.0011750323696649192,0.041594332184368546,0.0034367553358995834
Real estate and rental and leasing,0.002217236742585181,0.007543746271051309,0.05128123377359984,0.07441441708592336,0.0006841630860516537,0.009878119437510439,0.012957763407859039,9.2130331896005e-05,0.00037509387304756177,0.005029231501917684,0.0031160747221573282,0.0006004491529463108,0.14778901434406808,0.0073868205146632475,0.00011126701111932943,0.20015311363015165,0.17091259565617153,0.00789040565682033,0.00403508413298898,0.011050892435046174,0.23869354282402772,0.043787604408397234
Retail trade,0.0006490678249803103,0.006866292494292747,0.00624083877485534,0.017346736600258796,6.43924202749259e-05,0.007976133071770787,0.002985786754257781,0.00044150095641010904,0.0010094054219115774,0.024249089960104206,0.06902343600840656,0.0023293752781992044,0.05912896641869633,0.00023519850568077855,2.9433695534519662e-05,0.07074563980912701,0.14970409854860922,0.0037566442726180206,0.02618771983600518,0.0033914835785660096,0.4921630425347939,0.055475717234646664
Transportation and warehousing,0.008331425120257325,0.0007048383483053564,0.0057878018199621255,0.028068563842483085,2.1072869869751334e-05,0.009366611680209528,0.006098011678764183,0.00024329274913064075,0.00022086967554784832,0.000937962556334688,0.001275617072828461,7.71710110338074e-06,0.06545918664390758,0.0009558055184088372,0.00042337222366834506,0.07038339647958679,0.25537498726014773,0.0029019999093358433,0.013390090704680365,0.0030553638450785685,0.017379006381353063,0.5096130065190365
Wholesale trade,0.014525478824766886,0.009608257261017257,0.0024019469883501854,0.05850934980751613,5.3117460318082174e-05,0.047504219850850286,0.0028961615762624305,0.00022848989481670932,0.003752698988102587,0.00030094316901325643,0.003917992191341564,0.00013468618477050588,0.05346775764445382,0.0015525348904094891,0.00257374622348161,0.15961483681776964,0.15219208799376882,9.850834886279038e-05,0.031563067459223576,0.00041415887040611304,0.33291481704373127,0.12177514251076701
