NAICS_TITLE,Eng,Arts,Clean,Bus Ops,Soc S,Math,Cons,Educ,Agg,Food S,Health P,Health S,Repair,Legal,Science,Manag,Admin,Care,Prod,Prot S,Sales,Trans
Accommodation and food services,0.00014966766618551832,0.0012454949355749287,0.03661033251623777,0.01151279977102266,5.495066252456147e-05,0.0009340296728842617,0.0006220085605392605,0.00014351687539088725,0.00016764959724534798,0.7412092942614719,0.0008531702403604603,0.0005588898570481076,0.013900865927323772,0.0,0.0,0.07966569726199474,0.0344670652740951,0.009549677337023613,0.008145857613369488,0.005717593066626085,0.033984795591796645,0.02050664331128488
"Arts, entertainment, and recreation",0.001120784754100769,0.12677613013837247,0.06161236189977299,0.06610850340481253,0.0005177797371561498,0.007727330657065862,0.003864499278707515,0.02618029869194878,0.0009734326463357987,0.09599353964630065,0.004361748835385814,0.0023660052063755404,0.04145331015986701,0.0015137056679205903,0.0018480532671184438,0.13987699414507077,0.0832700282534816,0.2318494339220631,0.0022331771158104062,0.03389923326657849,0.05105112586772961,0.01540252343802513
Construction,0.016064671320800594,0.0014180929434704941,0.003258438694182365,0.07275278520221744,2.1327615861412375e-05,0.0032937471687988088,0.5506575506645371,2.391399465744624e-05,9.211138519208324e-05,5.4877139366827916e-05,2.2528053285061735e-05,0.0,0.08113441701314812,0.0006538104467313879,0.002992201380631155,0.13418820626082634,0.068296792180529,3.9536363174666266e-05,0.013439837600679292,0.0007065965517792001,0.024703863353502973,0.02618469466662824
Durable goods,0.12787594546604855,0.005517194826979178,0.0019153602065836513,0.0720384665258382,5.433725580300776e-06,0.06047516198281273,0.019862614722187814,4.7040662894056226e-05,0.0006292763225905748,6.071133349234137e-05,0.0011345436292313038,0.00010008539678360733,0.04253942030923373,0.0017474602613827737,0.005419108466948292,0.14807160601940786,0.061117959537671976,3.5858673415235505e-06,0.36643402318510276,0.0008925170519906914,0.03894031059998089,0.04517217389991719
Educational services,0.0018388581456617726,0.016898309707644592,0.020668274598755247,0.03258586762125289,0.031027158904464988,0.020465207658140153,0.002930418192056159,0.6114321068302881,0.00016692936688481483,0.014076538405242218,0.025084195404051858,0.002437251222282219,0.011048145791637277,0.0009179403747667557,0.015256825947832087,0.10046127711060121,0.06005294882916766,0.00833088743485795,0.001020854555351134,0.009573307329752865,0.002057441021058394,0.011669255548249588
Finance and insurance,0.000851657048164632,0.0033625157445255622,0.0004837618808643426,0.3141996895652716,0.002323755752482492,0.09941245398021882,0.00010568078965306126,0.00012552830220588387,4.975189750659161e-05,9.239519073228389e-05,0.010147396446398395,0.00027717744296787243,0.0013781626182325605,0.015568768278196653,0.0007051222085842099,0.2034000888376369,0.19369596055024998,4.4519722504826114e-05,0.00024685216718370307,0.001326927949360155,0.151853184815829,0.0003486488112304819
Health care and social assistance,0.00027184385489942666,0.0016534941785763166,0.01045856748804136,0.02223501740348955,0.04514398422664129,0.008446395292715297,0.0008317695336281425,0.015468766453852617,8.858991596159892e-05,0.012916691639460364,0.5252124494195518,0.15956738733902517,0.0060331239710894585,0.0005717579624878383,0.008475325684341568,0.06918417357983382,0.08850335202639847,0.013467293140444023,0.002092456756727865,0.0026415022571853086,0.002714097024675049,0.004021960850973706
Information,0.016482494563000615,0.12585237580640016,0.000566222747161799,0.11434112645215132,0.00017481266349395527,0.29145362581872114,0.0016368565274445207,0.0033775493267590453,0.0,0.0015219351902405493,0.001344635480174503,6.094510592745067e-05,0.056258220957670656,0.008574170418875676,0.0012374131052786627,0.20444250852545814,0.06758540235291645,0.004841570956623264,0.0034436347246469515,0.0006476922197646109,0.0915937520769782,0.004563054980312324
Mining,0.0786703459042621,0.000796249248413111,0.0010526687870729679,0.06129461159918334,0.0,0.017623518092505924,0.31495590212067237,0.0,0.00014324200472393508,9.02360650701609e-05,0.0,0.0,0.08296589425070781,0.004568463108319542,0.030026563906326367,0.16041167527520073,0.05551503911811902,5.978203289957342e-05,0.06067881457631436,0.001413704039793337,0.025880945508924398,0.10385234436149096
Nondurable goods,0.0405172219572292,0.009455534935186452,0.006654087422699684,0.0506570712587257,3.560702760737696e-05,0.014013298135729622,0.005904891950312396,2.271892798778322e-05,0.0036917087944604685,0.013626341872760375,0.0012568825380219746,8.568876519416484e-05,0.06764531525851296,0.001107597386858556,0.033590342539614015,0.1361733162931971,0.07184745216403707,0.0001366015442423398,0.3983310925866699,0.000659590144973526,0.048977825284846885,0.09560981321113247
"Other services, except government",0.005323703224650648,0.03060030302625125,0.014878535470171038,0.10826195014061574,0.028098640852664492,0.017514921992165162,0.0041439648391540865,0.013493645660023203,0.0004929484557503637,0.009612285173351718,0.005533177563774666,0.012732977565147319,0.16933266499064928,0.005994588418053382,0.005663981129288146,0.16758260349343443,0.11443820203991859,0.1424152424109315,0.04257770670368768,0.005982887686307196,0.034267388457826356,0.06105768070618378
Professional and business services,0.094762630119274,0.02843740534170695,0.0013238174036693117,0.178037734707942,0.0009139579824953195,0.19854820883361204,0.006734529396868009,0.0008949577165402466,0.00024122650771054349,0.0001715609595936628,0.01894279852448073,0.0037838743057548264,0.005480856622150098,0.09457863212985394,0.03492675864049945,0.20231457698892027,0.07675876550585777,0.0013491608369168096,0.006950902972447685,0.0012422468966695557,0.03920705068263962,0.004398346924397133
Real estate and rental and leasing,0.0035778274644888133,0.00819653628092664,0.03757030140676854,0.09248258170414791,0.0009247667103944472,0.011268715500927368,0.013082894042969568,0.00012326472167143628,0.0,0.004758025416826571,0.001438369717358765,0.0,0.16438048765026195,0.0077638208994332296,0.0006004839816605116,0.2613722493088571,0.13899716195010228,0.006794637257153981,0.00396356354633022,0.008922701588589934,0.19402021734422792,0.0397613935069028
Retail trade,0.000633836327192121,0.010403170325577778,0.005933364993404416,0.022704880679133378,9.145384686243277e-05,0.008168831743302359,0.003101945521017257,0.0005591621930374531,0.0015041757803372013,0.029113165848480876,0.06211428396978288,0.0021824289736705102,0.05715605241552455,0.00037318582778745035,0.00013954776811577296,0.08515679460806089,0.0871106850342851,0.004726804835157501,0.023327386339760028,0.003894383905362095,0.4482168499692683,0.1433876090948797
