BEA_sector,date,v,u,e,U_monthly
Accommodation and food services,2000-12-01,556,602,10185.7,4763
"Arts, entertainment, and recreation",2000-12-01,36,108,1790.4,4763
Construction,2000-12-01,224,536,6792.0,4763
Durable goods,2000-12-01,347,384,10859.0,4763
Educational services,2000-12-01,61,34,2440.1,4763
Finance and insurance,2000-12-01,272,129,5709.6,4763
Government,2000-12-01,377,408,20804.0,4763
Health care and social assistance,2000-12-01,782,292,12872.7,4763
Information,2000-12-01,193,140,3705.0,4763
Mining,2000-12-01,8,19,602.0,4763
Nondurable goods,2000-12-01,123,290,6319.0,4763
"Other services, except government",2000-12-01,338,202,5196.0,4763
Professional and business services,2000-12-01,827,574,16837.0,4763
Real estate and rental and leasing,2000-12-01,72,92,2033.8,4763
Retail trade,2000-12-01,542,639,15379.9,4763
Transportation and warehousing,2000-12-01,93,170,4473.9,4763
Wholesale trade,2000-12-01,239,144,5883.8,4763
Accommodation and food services,2001-12-01,412,872,10158.3,7298
"Arts, entertainment, and recreation",2001-12-01,56,166,1809.1,7298
Construction,2001-12-01,119,724,6785.0,7298
Durable goods,2001-12-01,139,792,9809.0,7298
Educational services,2001-12-01,43,107,2564.8,7298
Finance and insurance,2001-12-01,179,212,5803.1,7298
Government,2001-12-01,447,469,21355.0,7298
Health care and social assistance,2001-12-01,686,434,13349.7,7298
Information,2001-12-01,106,258,3521.0,7298
Mining,2001-12-01,16,26,598.0,7298
Nondurable goods,2001-12-01,83,407,5901.0,7298
"Other services, except government",2001-12-01,201,334,5333.0,7298
Professional and business services,2001-12-01,518,931,16079.0,7298
Real estate and rental and leasing,2001-12-01,39,74,2031.5,7298
Retail trade,2001-12-01,369,946,15091.7,7298
Transportation and warehousing,2001-12-01,103,316,4239.9,7298
Wholesale trade,2001-12-01,93,230,5694.7,7298
Accommodation and food services,2001-01-01,598,640,10178.4,5287
"Arts, entertainment, and recreation",2001-01-01,61,126,1798.5,5287
Construction,2001-01-01,194,580,6824.0,5287
Durable goods,2001-01-01,302,481,10813.0,5287
Educational services,2001-01-01,32,77,2446.7,5287
Finance and insurance,2001-01-01,238,167,5717.5,5287
Government,2001-01-01,486,465,20835.0,5287
Health care and social assistance,2001-01-01,747,341,12912.2,5287
Information,2001-01-01,229,158,3709.0,5287
Mining,2001-01-01,12,9,605.0,5287
Nondurable goods,2001-01-01,121,340,6301.0,5287
"Other services, except government",2001-01-01,422,200,5204.0,5287
Professional and business services,2001-01-01,686,634,16828.0,5287
Real estate and rental and leasing,2001-01-01,30,74,2037.3,5287
Retail trade,2001-01-01,496,683,15360.3,5287
Transportation and warehousing,2001-01-01,190,161,4438.8,5287
Wholesale trade,2001-01-01,238,151,5860.2,5287
Accommodation and food services,2001-06-01,464,673,10240.5,5644
"Arts, entertainment, and recreation",2001-06-01,59,87,1835.4,5644
Construction,2001-06-01,192,555,6840.0,5644
Durable goods,2001-06-01,235,623,10384.0,5644
Educational services,2001-06-01,48,80,2498.0,5644
Finance and insurance,2001-06-01,266,155,5779.2,5644
Government,2001-06-01,559,445,21137.0,5644
Health care and social assistance,2001-06-01,724,346,13115.1,5644
Information,2001-06-01,114,173,3642.0,5644
Mining,2001-06-01,18,24,610.0,5644
Nondurable goods,2001-06-01,111,347,6132.0,5644
"Other services, except government",2001-06-01,240,233,5250.0,5644
Professional and business services,2001-06-01,746,690,16525.0,5644
Real estate and rental and leasing,2001-06-01,44,71,2031.6,5644
Retail trade,2001-06-01,435,755,15256.8,5644
Transportation and warehousing,2001-06-01,124,236,4399.3,5644
Wholesale trade,2001-06-01,134,151,5770.3,5644
Accommodation and food services,2001-10-01,381,767,10181.4,6742
"Arts, entertainment, and recreation",2001-10-01,59,172,1833.2,6742
Construction,2001-10-01,126,654,6804.0,6742
Durable goods,2001-10-01,145,769,10001.0,6742
Educational services,2001-10-01,56,79,2547.2,6742
Finance and insurance,2001-10-01,187,213,5790.6,6742
Government,2001-10-01,461,452,21275.0,6742
Health care and social assistance,2001-10-01,716,429,13274.5,6742
Information,2001-10-01,61,245,3556.0,6742
Mining,2001-10-01,13,32,602.0,6742
Nondurable goods,2001-10-01,117,373,5970.0,6742
"Other services, except government",2001-10-01,220,248,5298.0,6742
Professional and business services,2001-10-01,510,926,16225.0,6742
Real estate and rental and leasing,2001-10-01,57,72,2038.4,6742
Retail trade,2001-10-01,362,827,15170.1,6742
Transportation and warehousing,2001-10-01,116,325,4300.4,6742
Wholesale trade,2001-10-01,137,159,5727.5,6742
Accommodation and food services,2001-11-01,424,753,10167.5,7021
"Arts, entertainment, and recreation",2001-11-01,69,180,1817.0,7021
Construction,2001-11-01,138,729,6784.0,7021
Durable goods,2001-11-01,125,751,9894.0,7021
Educational services,2001-11-01,38,110,2554.8,7021
Finance and insurance,2001-11-01,186,276,5804.7,7021
Government,2001-11-01,453,456,21326.0,7021
Health care and social assistance,2001-11-01,671,431,13306.4,7021
Information,2001-11-01,97,239,3535.0,7021
Mining,2001-11-01,6,22,600.0,7021
Nondurable goods,2001-11-01,104,398,5931.0,7021
"Other services, except government",2001-11-01,160,265,5314.0,7021
Professional and business services,2001-11-01,561,949,16114.0,7021
Real estate and rental and leasing,2001-11-01,65,59,2038.6,7021
Retail trade,2001-11-01,354,902,15150.4,7021
Transportation and warehousing,2001-11-01,108,317,4253.7,7021
Wholesale trade,2001-11-01,104,184,5709.6,7021
Accommodation and food services,2001-05-01,520,654,10229.2,5450
"Arts, entertainment, and recreation",2001-05-01,65,98,1839.2,5450
Construction,2001-05-01,223,573,6849.0,5450
Durable goods,2001-05-01,207,617,10489.0,5450
Educational services,2001-05-01,62,68,2516.5,5450
Finance and insurance,2001-05-01,255,126,5766.8,5450
Government,2001-05-01,500,412,21029.0,5450
Health care and social assistance,2001-05-01,728,352,13065.1,5450
Information,2001-05-01,120,165,3662.0,5450
Mining,2001-05-01,8,36,609.0,5450
Nondurable goods,2001-05-01,105,324,6173.0,5450
"Other services, except government",2001-05-01,187,190,5238.0,5450
Professional and business services,2001-05-01,835,668,16596.0,5450
Real estate and rental and leasing,2001-05-01,68,66,2042.3,5450
Retail trade,2001-05-01,465,755,15261.4,5450
Transportation and warehousing,2001-05-01,122,197,4420.1,5450
Wholesale trade,2001-05-01,110,149,5790.0,5450
Accommodation and food services,2001-07-01,511,670,10265.7,5782
"Arts, entertainment, and recreation",2001-07-01,88,133,1844.1,5782
Construction,2001-07-01,189,578,6845.0,5782
Durable goods,2001-07-01,197,656,10281.0,5782
Educational services,2001-07-01,49,98,2509.5,5782
Finance and insurance,2001-07-01,222,189,5765.2,5782
Government,2001-07-01,502,423,21185.0,5782
Health care and social assistance,2001-07-01,746,355,13159.6,5782
Information,2001-07-01,113,209,3619.0,5782
Mining,2001-07-01,17,16,610.0,5782
Nondurable goods,2001-07-01,108,377,6097.0,5782
"Other services, except government",2001-07-01,270,205,5268.0,5782
Professional and business services,2001-07-01,622,744,16473.0,5782
Real estate and rental and leasing,2001-07-01,61,84,2033.5,5782
Retail trade,2001-07-01,408,670,15206.1,5782
Transportation and warehousing,2001-07-01,134,239,4399.2,5782
Wholesale trade,2001-07-01,122,136,5761.1,5782
Accommodation and food services,2001-04-01,547,672,10211.1,5346
"Arts, entertainment, and recreation",2001-04-01,53,86,1828.7,5346
Construction,2001-04-01,233,558,6844.0,5346
Durable goods,2001-04-01,228,503,10595.0,5346
Educational services,2001-04-01,55,74,2481.0,5346
Finance and insurance,2001-04-01,236,169,5754.9,5346
Government,2001-04-01,499,442,20992.0,5346
Health care and social assistance,2001-04-01,655,294,13026.4,5346
Information,2001-04-01,204,151,3686.0,5346
Mining,2001-04-01,30,23,608.0,5346
Nondurable goods,2001-04-01,94,334,6208.0,5346
"Other services, except government",2001-04-01,196,221,5219.0,5346
Professional and business services,2001-04-01,834,684,16638.0,5346
Real estate and rental and leasing,2001-04-01,52,71,2044.6,5346
Retail trade,2001-04-01,549,697,15256.1,5346
Transportation and warehousing,2001-04-01,147,237,4421.4,5346
Wholesale trade,2001-04-01,199,130,5805.4,5346
Accommodation and food services,2001-09-01,560,811,10227.8,6409
"Arts, entertainment, and recreation",2001-09-01,78,164,1833.6,6409
Construction,2001-09-01,148,618,6813.0,6409
Durable goods,2001-09-01,189,715,10111.0,6409
Educational services,2001-09-01,55,95,2545.2,6409
Finance and insurance,2001-09-01,217,193,5784.8,6409
Government,2001-09-01,443,434,21242.0,6409
Health care and social assistance,2001-09-01,703,375,13238.2,6409
Information,2001-09-01,75,223,3584.0,6409
Mining,2001-09-01,12,27,607.0,6409
Nondurable goods,2001-09-01,124,368,6002.0,6409
"Other services, except government",2001-09-01,269,240,5293.0,6409
Professional and business services,2001-09-01,646,851,16327.0,6409
Real estate and rental and leasing,2001-09-01,62,77,2041.1,6409
Retail trade,2001-09-01,363,798,15191.5,6409
Transportation and warehousing,2001-09-01,124,238,4334.9,6409
Wholesale trade,2001-09-01,101,182,5743.6,6409
Accommodation and food services,2001-08-01,533,644,10248.0,6243
"Arts, entertainment, and recreation",2001-08-01,61,141,1844.7,6243
Construction,2001-08-01,111,640,6827.0,6243
Durable goods,2001-08-01,162,684,10188.0,6243
Educational services,2001-08-01,56,127,2526.6,6243
Finance and insurance,2001-08-01,204,166,5787.4,6243
Government,2001-08-01,500,438,21218.0,6243
Health care and social assistance,2001-08-01,866,380,13203.6,6243
Information,2001-08-01,105,210,3599.0,6243
Mining,2001-08-01,15,26,608.0,6243
Nondurable goods,2001-08-01,115,384,6037.0,6243
"Other services, except government",2001-08-01,271,223,5279.0,6243
Professional and business services,2001-08-01,594,868,16406.0,6243
Real estate and rental and leasing,2001-08-01,75,84,2036.1,6243
Retail trade,2001-08-01,404,802,15205.5,6243
Transportation and warehousing,2001-08-01,118,261,4394.1,6243
Wholesale trade,2001-08-01,105,165,5753.7,6243
Accommodation and food services,2001-03-01,569,664,10195.1,5438
"Arts, entertainment, and recreation",2001-03-01,109,112,1804.5,5438
Construction,2001-03-01,195,548,6862.0,5438
Durable goods,2001-03-01,250,530,10693.0,5438
Educational services,2001-03-01,46,128,2474.7,5438
Finance and insurance,2001-03-01,253,158,5749.5,5438
Government,2001-03-01,476,383,20945.0,5438
Health care and social assistance,2001-03-01,740,358,12991.5,5438
Information,2001-03-01,187,143,3717.0,5438
Mining,2001-03-01,17,15,609.0,5438
Nondurable goods,2001-03-01,152,338,6246.0,5438
"Other services, except government",2001-03-01,158,189,5201.0,5438
Professional and business services,2001-03-01,1040,635,16756.0,5438
Real estate and rental and leasing,2001-03-01,77,57,2045.8,5438
Retail trade,2001-03-01,430,806,15347.3,5438
Transportation and warehousing,2001-03-01,129,176,4441.1,5438
Wholesale trade,2001-03-01,158,198,5821.5,5438
Accommodation and food services,2001-02-01,569,647,10197.6,5275
"Arts, entertainment, and recreation",2001-02-01,50,106,1799.0,5275
Construction,2001-02-01,225,584,6841.0,5275
Durable goods,2001-02-01,290,487,10763.0,5275
Educational services,2001-02-01,58,69,2457.6,5275
Finance and insurance,2001-02-01,260,151,5732.4,5275
Government,2001-02-01,472,335,20906.0,5275
Health care and social assistance,2001-02-01,750,348,12954.4,5275
Information,2001-02-01,197,106,3716.0,5275
Mining,2001-02-01,8,23,605.0,5275
Nondurable goods,2001-02-01,128,364,6266.0,5275
"Other services, except government",2001-02-01,159,218,5198.0,5275
Professional and business services,2001-02-01,793,681,16793.0,5275
Real estate and rental and leasing,2001-02-01,27,74,2043.4,5275
Retail trade,2001-02-01,519,750,15379.2,5275
Transportation and warehousing,2001-02-01,146,169,4436.1,5275
Wholesale trade,2001-02-01,207,163,5841.5,5275
Accommodation and food services,2002-12-01,321,820,10285.6,7694
"Arts, entertainment, and recreation",2002-12-01,62,190,1826.6,7694
Construction,2002-12-01,84,862,6700.0,7694
Durable goods,2002-12-01,134,817,9238.0,7694
Educational services,2002-12-01,50,124,2663.5,7694
Finance and insurance,2002-12-01,176,248,5868.5,7694
Government,2002-12-01,368,501,21588.0,7694
Health care and social assistance,2002-12-01,609,496,13728.6,7694
Information,2002-12-01,52,245,3288.0,7694
Mining,2002-12-01,4,43,577.0,7694
Nondurable goods,2002-12-01,85,395,5672.0,7694
"Other services, except government",2002-12-01,144,287,5399.0,7694
Professional and business services,2002-12-01,554,1037,15877.0,7694
Real estate and rental and leasing,2002-12-01,40,114,2036.7,7694
Retail trade,2002-12-01,246,1054,14985.7,7694
Transportation and warehousing,2002-12-01,97,253,4225.7,7694
Wholesale trade,2002-12-01,91,208,5633.9,7694
Accommodation and food services,2002-05-01,364,857,10169.2,7563
"Arts, entertainment, and recreation",2002-05-01,65,200,1766.4,7563
Construction,2002-05-01,112,750,6684.0,7563
Durable goods,2002-05-01,160,782,9546.0,7563
Educational services,2002-05-01,47,124,2636.6,7563
Finance and insurance,2002-05-01,173,224,5790.9,7563
Government,2002-05-01,458,554,21514.0,7563
Health care and social assistance,2002-05-01,626,447,13495.9,7563
Information,2002-05-01,99,263,3417.0,7563
Mining,2002-05-01,5,26,583.0,7563
Nondurable goods,2002-05-01,90,462,5792.0,7563
"Other services, except government",2002-05-01,159,289,5369.0,7563
Professional and business services,2002-05-01,671,1009,16012.0,7563
Real estate and rental and leasing,2002-05-01,50,118,2033.3,7563
Retail trade,2002-05-01,340,976,15050.2,7563
Transportation and warehousing,2002-05-01,112,283,4216.8,7563
Wholesale trade,2002-05-01,102,199,5652.2,7563
Accommodation and food services,2002-08-01,350,746,10192.5,7375
"Arts, entertainment, and recreation",2002-08-01,53,161,1743.4,7375
Construction,2002-08-01,111,798,6701.0,7375
Durable goods,2002-08-01,159,756,9428.0,7375
Educational services,2002-08-01,45,118,2678.7,7375
Finance and insurance,2002-08-01,184,227,5807.4,7375
Government,2002-08-01,457,481,21589.0,7375
Health care and social assistance,2002-08-01,659,456,13602.9,7375
Information,2002-08-01,80,269,3370.0,7375
Mining,2002-08-01,8,46,577.0,7375
Nondurable goods,2002-08-01,90,401,5736.0,7375
