year,BEA_sector,v,u,e,U_yearly
2001,Accommodation and food services,6088,8467,122500.6,71935.0
2001,"Arts, entertainment, and recreation",808,1571,21887.0,71935.0
2001,Construction,2093,7341,81918.0,71935.0
2001,Durable goods,2469,7608,124021.0,71935.0
2001,Educational services,598,1112,30122.6,71935.0
2001,Finance and insurance,2703,2175,69236.1,71935.0
2001,Government,5798,5154,253445.0,71935.0
2001,Health care and social assistance,8732,4443,157596.7,71935.0
2001,Information,1608,2280,43546.0,71935.0
2001,Mining,172,279,7271.0,71935.0
2001,Nondurable goods,1362,4354,73264.0,71935.0
2001,"Other services, except government",2753,2766,63095.0,71935.0
2001,Professional and business services,8385,9261,197760.0,71935.0
2001,Real estate and rental and leasing,657,863,24464.2,71935.0
2001,Retail trade,5154,9391,182876.4,71935.0
2001,Transportation and warehousing,1561,2872,52479.0,71935.0
2001,Wholesale trade,1708,1998,69279.1,71935.0
2002,Accommodation and food services,4258,9484,122431.8,89265.0
2002,"Arts, entertainment, and recreation",661,2071,21400.6,89265.0
2002,Construction,1371,9552,80584.0,89265.0
2002,Durable goods,1798,9444,113806.0,89265.0
2002,Educational services,665,1498,31745.6,89265.0
2002,Finance and insurance,2245,2589,69771.1,89265.0
2002,Government,5133,6180,258111.0,89265.0
2002,Health care and social assistance,7903,5329,162669.9,89265.0
2002,Information,996,3032,40731.0,89265.0
2002,Mining,94,405,6991.0,89265.0
2002,Nondurable goods,1149,4979,69275.0,89265.0
2002,"Other services, except government",1821,3597,64467.0,89265.0
2002,Professional and business services,7115,12124,191699.0,89265.0
2002,Real estate and rental and leasing,575,1250,24402.6,89265.0
2002,Retail trade,4034,12000,180321.2,89265.0
2002,Transportation and warehousing,1126,3277,50682.5,89265.0
2002,Wholesale trade,1306,2454,67840.1,89265.0
2003,Accommodation and food services,4173,10212,124331.6,92362.0
2003,"Arts, entertainment, and recreation",613,1853,21768.2,92362.0
2003,Construction,1246,9721,80828.0,92362.0
2003,Durable goods,1547,9144,107560.0,92362.0
2003,Educational services,551,1750,32353.4,92362.0
2003,Finance and insurance,1968,2613,71033.2,92362.0
2003,Government,4338,6785,258960.0,92362.0
2003,Health care and social assistance,6614,5929,166701.0,92362.0
2003,Information,868,2946,38266.0,92362.0
2003,Mining,83,442,6864.0,92362.0
2003,Nondurable goods,1006,4834,66541.0,92362.0
2003,"Other services, except government",1710,4153,64808.0,92362.0
2003,Professional and business services,7968,12511,191820.0,92362.0
2003,Real estate and rental and leasing,519,1214,24678.8,92362.0
2003,Retail trade,4015,12130,179010.8,92362.0
2003,Transportation and warehousing,1078,3410,50206.0,92362.0
2003,Wholesale trade,1287,2715,67298.3,92362.0
2004,Accommodation and food services,4727,9862,127737.4,84290.0
