BEA_sector,share
Accommodation and food services,0.457789970534172
"Arts, entertainment, and recreation",0.433021631682233
Construction,0.4168639678330411
Durable goods,0.2751887204989213
Educational services,0.6040046772871734
Finance and insurance,0.39302605664554585
Government,0.6036349205970889
Health care and social assistance,0.5630396044710577
Information,0.3428561650957614
Mining,0.28654003445297904
Nondurable goods,0.1703937676534836
"Other services, except government",0.5373291198991752
Professional and business services,0.5533149243500981
Real estate and rental and leasing,0.126591377392003
Retail trade,0.5371128553245651
Transportation and warehousing,0.380363393155724
Wholesale trade,0.5185786098026828
