short_names,total_output,total_intermediate,employee_compensation,labor_income1,labor_elasticity1,labor_elasticity2
accom,1526812,725729,538308,801083,0.5097866219112297,0.4113512491459674
const,1961969,1019148,635566,942821,0.4737488708275377,0.37766718851820125
dur,3215746,1822810,778643,1392936,0.43398281335210737,0.30001301649721884
edhealth,3166813,1172825,1670227,1993988,0.6162654895111561,0.5735988751730879
fin,7803365,2938477,1179565,4864888,0.6173885635547267,0.28121974172197456
gov,4514751,1654702,2210904,2860049,0.6255189777178539,0.5635551718899253
info,2208265,940165,507857,1268100,0.5710538686012994,0.3477548112442994
mining,614381,294578,67308,319803,0.5175428450687174,0.1841881616209426
nondur,3617376,2318586,466376,1298790,0.35167740829778044,0.16302778023373501
other,739712,286194,350173,453518,0.6081515869423576,0.5451123527521885
profserv,4916570,1926989,2242330,2989581,0.5914475679935421,0.520572139287935
trade,4237026,1956622,1351478,2280404,0.5230036820806849,0.39386988057854133
trans,2052760,1032854,550408,1019906,0.4929975953050539,0.3441583787554276
