BEA_sector,BEA_sector_short
Accommodation and food services,Food S.
"Arts, entertainment, and recreation",Arts
Construction,Const.
Durable goods,Dur.
Educational services,Edu.
Finance and insurance,Fin.
Government,Gov.
Health care and social assistance,Health
Information,Info.
Mining,Mining
Nondurable goods,Nondur.
"Other services, except government",Other S.
Professional and business services,Bus S.
Real estate and rental and leasing,R. est.
Retail trade,Retail
Transportation and warehousing,Trans.
Wholesale trade,Wsale
