Industry,short_names,Year,Unemployment,Vacancy,Hires,Tightness
Construction,const,2000,580.0,233.0,414.0,0.4017241379310345
Construction,const,2001,7310.0,2207.0,5592.0,0.3019151846785226
Construction,const,2002,9596.0,1479.0,5225.0,0.15412671946644435
Construction,const,2003,9715.0,1328.0,5440.0,0.13669583118888318
Construction,const,2004,9228.0,1709.0,5562.0,0.185197225834417
Construction,const,2005,8547.0,1842.0,5908.0,0.2155142155142155
Construction,const,2006,8050.0,1996.0,5565.0,0.2479503105590062
Construction,const,2007,9086.0,2172.0,4949.0,0.23904908650671364
Construction,const,2008,12358.0,1314.0,4535.0,0.10632788477099854
Construction,const,2009,21245.0,665.0,3857.0,0.03130148270181219
Construction,const,2010,21609.0,884.0,4012.0,0.040908880559026334
Construction,const,2011,16599.0,950.0,4196.0,0.05723236339538527
Construction,const,2012,13553.0,1147.0,4051.0,0.08463070906810301
Construction,const,2013,11220.0,1493.0,3925.0,0.13306595365418894
Construction,const,2014,9145.0,1628.0,3758.0,0.17802077638053582
Construction,const,2015,7484.0,1767.0,3986.0,0.23610368786745056
Construction,const,2016,6691.0,2362.0,4056.0,0.35301150799581527
Construction,const,2017,6710.0,2397.0,4562.0,0.3572280178837556
Construction,const,2018,5932.0,3325.0,4541.0,0.5605192178017532
Construction,const,2019,5220.0,3799.0,5011.0,0.7277777777777777
Construction,const,2020,10052.0,3084.0,4998.0,0.3068046159968166
Construction,const,2021,7682.0,4174.0,4364.0,0.543348086435824
Construction,const,2022,5586.0,4821.0,4410.0,0.8630504833512352
Construction,const,2023,1428.0,695.0,756.0,0.48669467787114845
Durable goods manufacturing,dur,2000,378.0,301.0,271.0,0.7962962962962963
Durable goods manufacturing,dur,2001,7555.0,2478.0,2665.0,0.327994705493051
Durable goods manufacturing,dur,2002,9471.0,1766.0,2741.0,0.18646394256150353
Durable goods manufacturing,dur,2003,9144.0,1507.0,2572.0,0.16480752405949256
Durable goods manufacturing,dur,2004,7086.0,1976.0,2906.0,0.27885972339825005
Durable goods manufacturing,dur,2005,5825.0,2389.0,2888.0,0.41012875536480686
Durable goods manufacturing,dur,2006,4917.0,2630.0,2694.0,0.5348789912548302
Durable goods manufacturing,dur,2007,5235.0,2481.0,2629.0,0.47392550143266476
Durable goods manufacturing,dur,2008,7166.0,1674.0,2073.0,0.23360312587217416
Durable goods manufacturing,dur,2009,15343.0,730.0,1441.0,0.04757870038454018
Durable goods manufacturing,dur,2010,12889.0,1473.0,1789.0,0.11428349755605555
Durable goods manufacturing,dur,2011,10646.0,1825.0,1798.0,0.1714258876573361
Durable goods manufacturing,dur,2012,8311.0,2038.0,1821.0,0.24521718204788834
Durable goods manufacturing,dur,2013,7338.0,1978.0,1784.0,0.2695557372581085
Durable goods manufacturing,dur,2014,5452.0,2167.0,1848.0,0.39746881878209833
Durable goods manufacturing,dur,2015,4921.0,2273.0,1882.0,0.4618979882137777
Durable goods manufacturing,dur,2016,4946.0,2249.0,1925.0,0.4547108774767489
Durable goods manufacturing,dur,2017,4320.0,2712.0,2243.0,0.6277777777777778
Durable goods manufacturing,dur,2018,3539.0,3469.0,2510.0,0.980220401243289
Durable goods manufacturing,dur,2019,3288.0,3278.0,2280.0,0.9969586374695864
Durable goods manufacturing,dur,2020,7653.0,2711.0,2754.0,0.3542401672546714
Durable goods manufacturing,dur,2021,4642.0,5584.0,2965.0,1.2029297716501508
Durable goods manufacturing,dur,2022,3355.0,6358.0,3015.0,1.8950819672131147
Durable goods manufacturing,dur,2023,496.0,937.0,441.0,1.8891129032258065
Education and health services,edhealth,2000,293.0,919.0,515.0,3.136518771331058
Education and health services,edhealth,2001,5562.0,9413.0,6190.0,1.6923768428622799
Education and health services,edhealth,2002,6841.0,8521.0,5831.0,1.2455781318520684
Education and health services,edhealth,2003,7678.0,7093.0,5820.0,0.9238082834071373
Education and health services,edhealth,2004,7405.0,7414.0,5859.0,1.0012153950033762
Education and health services,edhealth,2005,7523.0,8159.0,6261.0,1.0845407417253756
Education and health services,edhealth,2006,6817.0,8856.0,6407.0,1.2991051782308933
Education and health services,edhealth,2007,6901.0,9365.0,6561.0,1.3570497029416027
Education and health services,edhealth,2008,8377.0,8592.0,6540.0,1.0256655127133818
Education and health services,edhealth,2009,13202.0,6428.0,6116.0,0.4868959248598697
Education and health services,edhealth,2010,14918.0,6443.0,5950.0,0.431894355811771
Education and health services,edhealth,2011,14601.0,7338.0,5926.0,0.5025683172385453
Education and health services,edhealth,2012,14787.0,8431.0,6300.0,0.5701629809968215
Education and health services,edhealth,2013,13177.0,8156.0,6539.0,0.6189572740380966
Education and health services,edhealth,2014,11220.0,9902.0,6912.0,0.8825311942959002
Education and health services,edhealth,2015,9880.0,12277.0,7514.0,1.2426113360323887
Education and health services,edhealth,2016,9264.0,13468.0,7693.0,1.4537996545768566
Education and health services,edhealth,2017,8567.0,13776.0,8006.0,1.6080308159215595
Education and health services,edhealth,2018,7651.0,14831.0,8532.0,1.9384394196837014
Education and health services,edhealth,2019,7447.0,15689.0,8669.0,2.106754397744058
Education and health services,edhealth,2020,16724.0,14355.0,9335.0,0.8583472853384357
Education and health services,edhealth,2021,10310.0,21488.0,9383.0,2.0841901066925317
Education and health services,edhealth,2022,7945.0,25932.0,10293.0,3.2639395846444303
Education and health services,edhealth,2023,1210.0,3874.0,1781.0,3.2016528925619836
Financial activities,fin,2000,200.0,274.0,254.0,1.37
Financial activities,fin,2001,3022.0,2951.0,2744.0,0.9765056254136334
Financial activities,fin,2002,3835.0,2648.0,2579.0,0.6904823989569753
Financial activities,fin,2003,3823.0,2577.0,2543.0,0.6740779492545121
Financial activities,fin,2004,3989.0,3155.0,2783.0,0.7909250438706442
Financial activities,fin,2005,3260.0,3597.0,2780.0,1.1033742331288343
Financial activities,fin,2006,3174.0,4005.0,3054.0,1.2618147448015122
Financial activities,fin,2007,3472.0,3297.0,2984.0,0.9495967741935484
Financial activities,fin,2008,4560.0,2654.0,2555.0,0.5820175438596491
Financial activities,fin,2009,7180.0,1751.0,1976.0,0.2438718662952646
Financial activities,fin,2010,7509.0,2480.0,2033.0,0.3302703422559595
Financial activities,fin,2011,6985.0,2518.0,1903.0,0.360486757337151
Financial activities,fin,2012,5592.0,2903.0,2224.0,0.519134477825465
Financial activities,fin,2013,5089.0,3269.0,2410.0,0.6423658872077029
