variable,Year,Unemployment,Vacancy,Hires,Tightness,L,H,u
Admin,2021,687.7001406667919,935.5660778930624,576.7940616990196,1.3604273469915833,18279490.0,18967.190140666793,0.03625735470391692
Agg,2021,6.139996447568336,7.882839587969271,5.211838245658204,1.283850838560528,156180.0,162.31999644756834,0.037826494467375384
Arts,2021,110.77017844357755,152.50340358729053,102.51053499727989,1.3767550592596582,1808320.0,1919.0901784435775,0.0577201528556696
Bus Ops,2021,560.1593458424151,825.9855563276352,505.67002053887774,1.4745546288894782,8911530.0,9471.689345842417,0.05914038408452407
Care,2021,137.13134018353128,166.10815544109735,112.1581172966192,1.2113070230246756,2559430.0,2696.5613401835312,0.05085415196755656
Clean,2021,133.27432500346535,198.63543558764374,134.29446828486024,1.4904253732478396,4103390.0,4236.664325003466,0.031457371833053194
Cons,2021,434.0066349392355,287.3371484511428,254.04522884573794,0.6620570408822722,5848120.0,6282.126634939235,0.0690859417773315
Educ,2021,231.13893149408412,465.3216823374951,207.41419779210256,2.013168786970034,8190330.0,8421.468931494084,0.027446391285691877
Eng,2021,178.4192116408408,261.18115262219584,158.0805904223104,1.4638622725671238,2407010.0,2585.429211640841,0.06900951332858468
Food S,2021,856.5382513603681,949.5524454046612,782.396213042568,1.1085931584451323,11195800.0,12052.338251360368,0.0710682220741431
Health P,2021,401.4747559187562,762.8200737071571,362.6813834894442,1.9000449280091822,8786050.0,9187.524755918756,0.04369781487229404
Health S,2021,103.04885756291522,205.06312366932647,93.8617449021251,1.9899601850911126,6600790.0,6703.838857562915,0.015371619120388159
Legal,2021,90.22557058438296,163.31950116092304,98.41426141872996,1.810124337292823,1176510.0,1266.735570584383,0.07122683903378446
Manag,2021,924.1315111157738,1269.6884917198254,819.497057892146,1.3739261960528046,8900010.0,9824.141511115775,0.09406740630416834
Math,2021,302.487222421515,500.3729737232647,314.1424154650878,1.6541954060657693,4617830.0,4920.317222421515,0.061477178959743396
Prod,2021,355.7922989022874,448.126497912071,263.1522455866286,1.2595171376521044,8395190.0,8750.982298902289,0.04065741270519054
Prot S,2021,154.8776745004101,246.21596515458398,119.86382915620197,1.5897447191714646,3340770.0,3495.64767450041,0.044305859434917126
Repair,2021,347.60896256538587,387.01299157271865,256.32235122352773,1.1133573447489025,5565020.0,5912.628962565386,0.058790931202719075
Sales,2021,657.6845547517818,766.2300560309459,572.6357489734713,1.1650418889951437,13252870.0,13910.554554751783,0.047279535273963585
Science,2021,75.40555712821663,123.61913153854393,67.84578715934317,1.639390202082147,1258930.0,1334.3355571282168,0.05651168982598796
Soc S,2021,72.58745701442383,128.2388261882643,57.31067291593802,1.7666802428797308,2213790.0,2286.3774570144237,0.03174780121791846
Trans,2021,640.0638881789326,723.3018037155058,478.3638973189825,1.1300462611215205,12593870.0,13233.933888178934,0.04836535330969597
