year,Emining,Econs,Edur,Enondur,Ewholesale,Eretail,Etrans,Einfo,Efinance,Erealestate,Eprofbusserv,Eeduc,Ehealth,Earts,Eaccom,Eother,Egovt
Jan-1998,660,5983,10920,6703,5756.5,14520,4100.2,3155,5420.7,1904.7,14818,2203.2,12084.7,1607.7,9492.2,4914,19770
Feb-1998,659,5997,10930,6697,5762.7,14509.6,4116.1,3169,5440.2,1907.6,14875,2206.6,12100.7,1614.6,9508.4,4923,19786
Mar-1998,658,5969,10944,6693,5773.1,14510,4125.7,3178,5465.9,1915.4,14922,2209.1,12117.9,1619.3,9514.9,4939,19792
Apr-1998,654,6049,10952,6683,5781.8,14529.7,4129.2,3192,5484.9,1918.8,14974,2209.9,12143.9,1625.4,9530.9,4949,19816
May-1998,650,6087,10952,6671,5792.5,14577.2,4152.8,3202,5505.7,1924.7,15066,2215.5,12177,1633.1,9580.2,4963,19875
Jun-1998,649,6130,10950,6659,5797.6,14596.1,4160.7,3208,5526.6,1930.8,15134,2223.8,12204.6,1630.7,9584.1,4974,19879
Jul-1998,644,6172,10782,6639,5798.3,14621,4166.3,3226,5545.4,1944.5,15173,2225.9,12252,1650.3,9597.6,4989,19930
Aug-1998,642,6215,10929,6634,5804.8,14638.9,4186,3229,5559.6,1942.1,15234,2222.9,12245.5,1656,9617.4,4995,19959
Sep-1998,637,6225,10925,6632,5812.3,14672.6,4205.2,3244,5573.3,1949.1,15238,2245.5,12273.8,1672.8,9638.6,5000,19985
Oct-1998,632,6262,10906,6605,5809,14681,4212.9,3259,5593.8,1949.1,15338,2264.7,12297.4,1664.3,9633.2,5013,20001
Nov-1998,628,6301,10876,6589,5820,14718.2,4221.8,3273,5606,1954.1,15422,2275.3,12318.3,1677.8,9659.6,5021,20044
Dec-1998,627,6378,10868,6579,5833.7,14743.5,4230.7,3288,5616.8,1959.2,15512,2283.1,12343.5,1684,9692.2,5029,20079
Jan-1999,617,6357,10858,6574,5835.6,14772.4,4232,3303,5630.7,1965,15578,2286.4,12353.3,1677.9,9707.5,5038,20084
Feb-1999,610,6429,10846,6549,5856.5,14842.1,4247.3,3329,5634.9,1969.6,15652,2301.5,12391.6,1677.4,9747.9,5051,20144
