"Gross Output by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: March 30, 2022"
"Line","","2005","2006","2007","2008","2009","2010","2011"
"Line","","","","","","","",""
"1","        All industries",23514.7,24924.7,26245.0,27023.5,24954.6,26475.7,28045.9
"2","Private industries",20892.1,22148.0,23312.5,23902.5,21728.0,23139.7,24682.0
"3","    Agriculture, forestry, fishing, and hunting",300.2,304.0,349.4,372.6,339.0,366.6,429.5
"4","        Farms",253.6,256.2,304.8,327.9,297.7,320.9,380.3
"5","        Forestry, fishing, and related activities",46.6,47.8,44.6,44.8,41.3,45.7,49.2
"6","    Mining",394.5,445.2,476.3,614.6,404.9,500.1,601.8
"7","        Oil and gas extraction",249.3,257.4,276.9,388.4,227.6,304.7,372.9
"8","        Mining, except oil and gas",84.3,100.8,104.5,116.2,104.9,112.7,130.9
"9","        Support activities for mining",61.0,86.9,94.9,110.0,72.4,82.7,98.0
"10","    Utilities",416.2,422.0,451.6,524.9,436.5,494.5,484.9
"11","    Construction",1287.1,1353.6,1339.1,1275.8,1099.0,1016.7,1020.5
"12","    Manufacturing",4803.2,5092.6,5403.4,5493.0,4510.6,5018.8,5594.6
"13","        Durable goods",2494.9,2638.8,2769.5,2686.3,2151.6,2382.2,2600.8
"14","            Wood products",114.8,114.6,103.3,89.1,65.9,71.9,73.0
"15","            Nonmetallic mineral products",113.2,125.8,128.5,114.4,90.0,92.4,94.1
"16","            Primary metals",202.5,233.1,256.3,280.3,167.1,235.7,281.5
"17","            Fabricated metal products",287.9,316.7,342.8,357.8,280.2,295.6,326.8
"18","            Machinery",298.9,323.7,346.8,353.9,285.2,318.7,369.1
"19","            Computer and electronic products",407.7,425.9,444.3,423.2,350.2,358.8,361.7
"20","            Electrical equipment, appliances, and components",108.7,117.2,126.3,126.9,102.7,108.6,117.8
"21","            Motor vehicles, bodies and trailers, and parts",522.5,525.2,512.8,424.8,342.4,434.6,498.8
"22","            Other transportation equipment",206.0,214.0,263.6,269.3,248.0,249.0,258.8
"23","            Furniture and related products",84.3,86.4,85.6,77.0,59.5,57.3,57.3
"24","            Miscellaneous manufacturing",148.4,156.2,159.2,169.6,160.4,159.7,162.0
"25","        Nondurable goods",2308.3,2453.8,2633.8,2806.7,2358.9,2636.6,2993.8
"26","            Food and beverage and tobacco products",661.1,667.6,720.6,778.6,772.6,800.3,856.0
"27","            Textile mills and textile product mills",77.0,71.7,64.4,56.5,46.3,49.8,52.9
"28","            Apparel and leather and allied products",40.3,39.2,29.8,26.7,24.4,23.3,24.9
"29","            Paper products",160.1,167.5,174.2,177.4,160.5,169.4,175.6
"30","            Printing and related support activities",99.0,100.7,103.5,99.2,84.0,83.8,84.2
"31","            Petroleum and coal products",462.1,536.9,606.4,733.6,482.4,607.7,816.9
"32","            Chemical products",610.7,660.3,728.7,735.8,620.9,715.7,782.3
"33","            Plastics and rubber products",198.1,209.8,206.2,198.9,167.8,186.6,201.0
"34","    Wholesale trade",1107.7,1196.8,1270.9,1327.1,1154.8,1359.2,1530.8
"35","    Retail trade",1239.7,1302.1,1334.0,1277.2,1207.7,1299.7,1335.9
"36","        Motor vehicle and parts dealers",211.9,214.6,215.8,184.5,147.8,196.9,198.8
"37","        Food and beverage stores",175.2,185.0,188.2,194.1,190.7,197.1,203.8
"38","        General merchandise stores",181.1,186.5,198.4,200.7,207.3,215.1,212.4
"39","        Other retail",671.5,715.9,731.6,698.0,661.9,690.6,721.0
"40","    Transportation and warehousing",752.7,820.8,866.2,905.4,781.8,859.4,958.8
"41","        Air transportation",141.8,152.1,160.7,170.9,146.6,163.5,194.2
"42","        Rail transportation",51.5,58.1,60.7,68.4,54.7,66.4,75.8
"43","        Water transportation",38.0,42.4,47.6,51.4,43.3,47.5,49.5
"44","        Truck transportation",255.9,272.8,279.0,283.7,231.4,251.5,278.4
"45","        Transit and ground passenger transportation",37.1,42.4,45.0,45.1,44.9,45.1,49.2
"46","        Pipeline transportation",22.8,24.2,25.7,31.2,27.3,31.2,35.0
"47","        Other transportation and support activities",152.3,167.2,178.5,177.8,154.9,165.7,179.1
"48","        Warehousing and storage",53.2,61.5,69.0,76.9,78.6,88.5,97.6
"49","    Information",1131.8,1183.9,1220.7,1255.0,1219.7,1268.9,1324.7
"50","        Publishing industries, except internet (includes software)",292.1,304.5,311.0,312.9,288.3,289.2,298.1
"51","        Motion picture and sound recording industries",133.4,135.9,137.1,131.1,123.1,129.8,128.3
"52","        Broadcasting and telecommunications",609.6,634.6,654.2,672.8,664.9,687.3,709.7
"53","        Data processing, internet publishing, and other information services",96.7,108.9,118.5,138.2,143.4,162.5,188.7
"54","    Finance, insurance, real estate, rental, and leasing",4245.9,4477.6,4686.2,4689.9,4505.9,4638.2,4778.6
"55","        Finance and insurance",1750.9,1885.3,2025.1,1992.6,1881.7,1915.4,1984.6
"56","            Federal Reserve banks, credit intermediation, and related activities",675.0,704.4,717.4,701.0,700.2,691.9,693.1
"57","            Securities, commodity contracts, and investments",382.0,446.9,501.5,457.3,436.3,454.4,452.2
"58","            Insurance carriers and related activities",605.7,636.0,691.8,715.9,645.4,660.1,725.4
"59","            Funds, trusts, and other financial vehicles",88.2,97.9,114.3,118.3,99.9,109.0,113.8
"60","        Real estate and rental and leasing",2495.0,2592.3,2661.1,2697.3,2624.2,2722.8,2794.0
"61","            Real estate",2244.5,2329.8,2391.0,2407.8,2373.3,2454.3,2509.3
"62","                Housing",1355.0,1429.1,1505.9,1593.9,1616.8,1650.9,1686.0
"63","                Other real estate",889.5,900.7,885.2,813.9,756.4,803.3,823.3
"64","            Rental and leasing services and lessors of intangible assets",250.5,262.5,270.1,289.5,250.9,268.5,284.7
"65","    Professional and business services",2281.2,2438.5,2643.4,2739.2,2593.6,2712.2,2868.6
"66","        Professional, scientific, and technical services",1346.2,1432.0,1544.5,1624.3,1559.6,1618.0,1710.8
"67","            Legal services",270.2,281.0,290.4,292.1,279.9,286.0,297.7
"68","            Computer systems design and related services",217.8,230.5,256.9,281.9,279.7,305.0,330.9
"69","            Miscellaneous professional, scientific, and technical services",858.2,920.6,997.1,1050.2,1000.1,1026.9,1082.1
"70","        Management of companies and enterprises",354.8,383.7,433.4,432.6,400.2,422.2,446.5
"71","        Administrative and waste management services",580.3,622.8,665.4,682.2,633.9,672.1,711.3
"72","            Administrative and support services",513.5,549.4,588.9,602.7,559.0,589.7,628.1
"73","            Waste management and remediation services",66.8,73.5,76.5,79.5,74.8,82.4,83.2
"74","    Educational services, health care, and social assistance",1579.5,1675.0,1781.1,1898.9,1998.0,2091.3,2174.3
"75","        Educational services",195.1,213.5,236.6,257.3,273.5,292.9,306.5
"76","        Health care and social assistance",1384.4,1461.6,1544.5,1641.6,1724.5,1798.4,1867.8
"77","            Ambulatory health care services",642.9,671.8,707.9,745.5,773.4,803.2,833.8
"78","            Hospitals",469.8,502.2,530.0,569.3,611.0,636.9,667.8
"79","            Nursing and residential care facilities",154.9,163.2,172.6,181.4,186.6,195.7,201.9
"80","            Social assistance",116.9,124.4,134.0,145.3,153.4,162.6,164.4
"81","    Arts, entertainment, recreation, accommodation, and food services",855.0,912.5,955.9,978.4,955.2,979.2,1030.0
"82","        Arts, entertainment, and recreation",202.0,222.7,241.5,247.5,244.1,245.9,252.1
"83","            Performing arts, spectator sports, museums, and related activities",106.4,116.4,126.6,131.8,133.3,134.0,136.6
"84","            Amusements, gambling, and recreation industries",95.6,106.3,114.9,115.8,110.8,111.9,115.5
"85","        Accommodation and food services",653.0,689.8,714.4,730.9,711.1,733.3,777.9
"86","            Accommodation",177.4,187.5,192.8,198.0,181.9,185.7,198.7
"87","            Food services and drinking places",475.6,502.3,521.6,532.9,529.1,547.7,579.2
"88","    Other services, except government",497.4,523.4,534.3,550.5,521.6,535.0,548.9
"89","Government",2622.6,2776.7,2932.6,3121.0,3226.6,3336.0,3363.9
"90","    Federal",853.0,901.0,940.5,1023.4,1078.9,1146.0,1148.7
"91","        General government",765.0,805.6,841.1,922.6,981.8,1049.4,1055.0
"92","            National defense",497.2,522.6,550.0,606.1,637.3,675.6,688.1
"93","            Nondefense",267.8,283.0,291.1,316.5,344.4,373.8,366.9
"94","        Government enterprises",88.1,95.4,99.4,100.8,97.1,96.6,93.8
"95","    State and local",1769.5,1875.7,1992.1,2097.6,2147.7,2190.1,2215.2
"96","        General government",1573.8,1663.8,1768.7,1857.1,1891.3,1916.9,1928.7
"97","        Government enterprises",195.8,212.0,223.4,240.5,256.5,273.2,286.5
"","    Addenda:","","","","","","",""
"98","            Private goods-producing industries1",6785.0,7195.4,7568.2,7756.0,6353.4,6902.2,7646.4
"99","            Private services-producing industries2",14107.1,14952.6,15744.3,16146.5,15374.6,16237.5,17035.6
"100","            Information-communications-technology-producing industries3",1337.5,1411.5,1471.6,1522.6,1456.4,1532.2,1617.7
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
