"The Use of Commodities by Industries - Sector"
"2005, (Millions of dollars)" 
"Bureau of Economic Analysis" 
""
"","Commodities/Industries","11","21","22","23","31G","42","44RT","48TW","51","FIRE","PROF","6","7","81","G","T001","F010","F020","F030","F040","F100","T019"
"","Name","Agriculture, forestry, fishing, and hunting","Mining","Utilities","Construction","Manufacturing","Wholesale trade","Retail trade","Transportation and warehousing","Information","Finance, insurance, real estate, rental, and leasing","Professional and business services","Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government","Government","Total Intermediate","Personal consumption expenditures","Private fixed investment","Change in private inventories","Exports of goods and services","Government consumption expenditures and gross investment","Total use of products"
"11","Agriculture, forestry, fishing, and hunting",63466,145,"---",2270,211862,467,1567,44,0,2,942,136,3979,117,3801,288797,101467,"---",-118,34084,"---",424232
"21","Mining",2174,55185,102388,19730,351852,53,60,244,338,0,1005,360,1094,417,24221,559120,880,70191,2925,13509,"---",646626
"22","Utilities",4731,5185,19825,5225,68303,7194,20357,13342,3420,70603,9726,9250,18419,2677,21338,279594,217654,"---","---",3657,"---",500905
"23","Construction",1283,5051,4882,191,8886,740,1841,2942,3008,106920,917,817,1457,1956,48498,189389,"---",924418,"---",83,244509,1358399
"31G","Manufacturing",66268,45745,33235,471660,1999280,39631,47580,119709,74607,54579,109386,202627,87339,51873,322880,3726399,2705229,826204,54399,720797,117544,8150572
"42","Wholesale trade",1572,265,844,16,26562,21101,8277,112,1731,6425,406,400,79,36,45,67872,"---","---","---",1782,"---",69654
"44RT","Retail trade","---","---","---","---","---","---",743,"---","---","---","---","---","---",2,-1,744,1417,"---","---","---","---",2162
"48TW","Transportation and warehousing",959,1825,5238,617,14671,39715,45228,95848,8982,23255,27829,9557,5084,2406,32010,313223,140046,"---","---",41954,"---",495223
"51","Information",578,1134,2623,10037,21770,13686,15319,4506,180976,45893,52287,16514,8730,6754,67440,448246,368322,143639,872,50885,5808,1017772
"FIRE","Finance, insurance, real estate, rental, and leasing",22895,23838,14445,43378,103997,68385,108592,63658,59854,814901,201938,178846,85082,68265,120620,1978694,2072937,140930,"---",107879,"---",4300440
"PROF","Professional and business services",3804,26985,23846,70688,234113,125512,123892,37184,116378,382158,351568,123905,117991,32579,192989,1963591,181098,432521,"---",72022,148548,2797780
"6","Educational services, health care, and social assistance",186,0,145,2,53,493,1788,34,304,23,276,23457,1077,1122,13423,42382,1689821,"---","---",1072,"---",1733275
"7","Arts, entertainment, recreation, accommodation, and food services",630,448,3587,911,12982,4528,4485,7015,22472,53401,45162,22514,23294,3248,17308,221984,702239,3612,"---",2852,"---",930688
"81","Other services, except government",1432,851,2551,8040,17579,12742,10179,10285,5982,46149,19485,14394,10638,11480,22071,193858,431311,"---","---",392,"---",625562
"G","Government",56,14,2536,11,4328,14822,6710,7155,3025,9487,8433,5607,6954,2213,6503,77856,54089,"---","---",332,1962027,2094304
"Used","Scrap, used and secondhand goods",-56,1127,1171,1354,22334,0,21,1929,13,-29,293,330,469,1247,8,30209,134581,-67514,-565,20803,-3123,114391
"Other","Noncomparable imports and rest-of-the-world adjustment",758,1275,955,1453,12115,3953,2522,13015,8736,20771,5602,612,2256,392,19170,93584,-32026,3205,"---",97912,"---",162675
"T005","Total Intermediate",170736,169073,218270,635580,3110686,353023,399159,377020,489828,1634537,835255,609327,373943,186782,912323,10475540,8769066,2477207,57513,1170017,2475313,25424657
"V001","Compensation of employees",34647,47195,56130,387531,895469,379429,477742,231618,241486,636152,1013725,793419,290415,209403,1383361,7077721,"---","---","---","---","---","---"
"T00OTOP","Other taxes on production",6041,16037,19425,6786,40942,9301,16279,11386,11604,213610,18460,21336,10910,7711,"---",409828,"---","---","---","---","---","---"
"V003","Gross operating surplus",109329,152198,97996,256070,737726,213419,194607,120859,352059,1756323,379558,151405,128902,85616,343882,5079950,"---","---","---","---","---","---"
"VABAS","Value Added (basic prices)",150017,215430,173551,650387,1674137,602149,688628,363864,605149,2606084,1411743,966160,430227,302731,1727244,12567501,"---","---","---","---","---","---"
"T018","Total industry output (basic prices)",320752,384503,391821,1285968,4784824,955172,1087786,740884,1094976,4240621,2246998,1575487,804170,489512,2639566,23043041,"---","---","---","---","---","---"
"T00TOP","Taxes on products and imports",349,9986,24363,1176,18373,152563,151927,14100,36828,25570,34243,4059,50824,7841,407,532610,"---","---","---","---","---","---"
"T00SUB","Less: Subsidies",-20914,"---","---","---",0,"---",0,-2315,0,-20302,"---",0,"---","---",-17380,-60911,"---","---","---","---","---","---"
"VAPRO","Value Added (producer prices)",129452,225416,197914,651563,1692510,754713,840555,375649,641976,2611352,1445986,970219,481051,310572,1710271,13039200,"---","---","---","---","---","---"
