BEA_sector,Accommodation and food services,"Arts, entertainment, and recreation",Construction,Durable goods,Educational services,Finance and insurance,Government,Health care and social assistance,Information,Mining,Nondurable goods,"Other services, except government",Professional and business services,Real estate and rental and leasing,Retail trade,Transportation and warehousing,Wholesale trade
Accommodation and food services,0.012318378732877028,0.0037114011509223077,0.003055578647897211,0.021571941881194517,0.0,0.024067762167354817,0.011998780724360572,0.0,0.01478279343438542,0.0014021669853409814,0.13257959930168758,0.0168721885074034,0.20640119710699142,0.08690294750648893,0.0,0.006530514220263991,1.477909865972049e-05
"Arts, entertainment, and recreation",0.01094235862371444,0.07237363712529732,0.001956804111537834,0.02452752739806906,0.007641657435574474,0.028694170635567725,0.0029576981685887956,0.0003936100224357713,0.012196287695188398,0.005549901316344375,0.06020546443171147,0.014867212847431132,0.1624934632621274,0.14362829718681294,0.0,0.01794861702307117,0.0006016610342946789
Construction,0.0005030824458333689,0.00024633038779035013,0.00017906324343221604,0.3460212431536732,9.474245684244235e-07,0.010332612343236763,9.474245684244236e-06,0.0,0.007220322635962532,0.017353975819830166,0.10770985691046743,0.005813397151852263,0.06184787582674637,0.025349291752763875,0.0,0.0005334000320229504,1.5158793094790777e-05
Durable goods,0.0030197911453670877,0.00044781507035872135,0.002026352228263754,0.5025607916633589,0.0,0.014728773631455656,0.0013864284401605468,0.0,0.006541345699637582,0.016679685906632533,0.07738165467010591,0.0044816595386145104,0.07010433082349289,0.015094131078672907,0.0,0.004444378166449484,0.005914141438508325
Educational services,0.00816526414679486,0.0030632233304683284,0.0013192348437906017,0.02920805932559116,0.012982470167302964,0.01911891103160167,0.0036278958204241543,0.0,0.025605149013572127,0.001738991384996702,0.053354054648303985,0.01237782086389894,0.06730096544004478,0.15028283595514602,0.0,0.007800475724080034,4.997101681025006e-05
Finance and insurance,0.013399432958913075,0.0019943194042885823,0.005159895656292132,0.002247667352870407,1.7823473769575585e-05,0.35378004051020967,0.005592751447838967,0.0,0.020973136205713443,0.0,0.014850772965864227,0.014905516492442211,0.12081259763126032,0.04220725899162424,0.0,0.010869772788902596,0.00016295747446469107
Government,0.00558390475305214,0.0017728510288732805,0.02317100008183001,0.0383460964307023,0.0032632693708702664,0.026676184370151276,0.0026916510355467953,0.0025128961704352164,0.0264549255704465,0.01159999904664072,0.11410995569262744,0.008865049610433565,0.09061521068842869,0.02633376949520421,0.0,0.01435759076576201,1.0725291906694728e-05
Health care and social assistance,0.019343492274734544,0.0011012743836749876,0.0007576709644940712,0.04250076457209025,5.956761178189247e-05,0.04667049739682272,0.004033889612498157,0.012648673857881848,0.010379293135849751,0.00018015570392572355,0.09985783680944248,0.01131130832994936,0.10285001965004754,0.07777641369561096,0.0,0.00711397100219601,0.00037556652794193174
Information,0.007448473385429213,0.029362174285590188,0.0027311507818988546,0.06869732663115513,0.00047910307692105203,0.01512860100585322,0.004909490321196495,0.0,0.22694612591197405,0.0004962139010968039,0.046529595802846456,0.007877560207067298,0.17309704601363865,0.05338840386283437,0.0,0.01558006352064421,0.004472506196092678
Mining,0.0021247526833570183,0.00019648250620290703,0.017518928576324318,0.12280613573742627,0.0,0.08091423767072273,6.397104853117904e-05,0.0,0.004752135033744729,0.21362674720926303,0.09735479714323575,0.0038108467482145226,0.12541981000598587,0.036107087535241195,0.0,0.007534875644851016,0.0012291580039205116
Nondurable goods,0.0028471883207084993,0.0004294491089335114,0.006142146038560973,0.05784253820049508,2.370860827236449e-05,0.008784039364911045,0.0016294279867188686,0.0,0.0043677722421769675,0.22872179349155594,0.4287448555014209,0.005105972090657408,0.061673633764506706,0.01255640224024795,0.0,0.0037416494509840688,0.006995655936366096
"Other services, except government",0.005357479194424873,0.003087991480119892,0.0062015612029215,0.08679627859821928,0.0024415595287092524,0.07581623660339538,0.00512727501028943,9.998767593761698e-05,0.016972326666713174,0.0015277186765352178,0.056234929183147195,0.013751793383606206,0.08719622930196974,0.09586725357107148,9.301179156987627e-06,0.006092272347826896,9.068649678062936e-05
Professional and business services,0.01698831026451785,0.004350733153165604,0.000716717685137283,0.0375116495806151,6.023230057505505e-05,0.03265057608226705,0.004078520507931053,4.3890203519807555e-05,0.027039633787612503,0.0007041109245518063,0.03011895178987985,0.010812865245869186,0.20031582269851914,0.06656229514014048,0.0,0.014551937052109812,0.00017882923349027971
Real estate and rental and leasing,0.027310417047513944,0.004585965411168361,0.1256728301861243,0.024080832154117326,0.0,0.18718728207072588,0.0028808980548013837,0.0,0.021318419918256067,0.0,0.020633459041145046,0.024106786190647066,0.2560963774935623,0.15919416101884262,0.0,0.012209681532687417,0.008131512488405317
Retail trade,0.0045725498515061525,0.001668434450572762,0.0026601612218922362,0.02748196860415783,0.0018805685193042003,0.030516546457361054,0.007630462452269835,0.0,0.017408782350445483,8.909630886720409e-05,0.03313215952481969,0.01164297836232499,0.156494484514213,0.09665676707679254,0.001574034789987272,0.06021425540941876,0.00926389478150191
Transportation and warehousing,0.011362538550143053,0.0006242336417344777,0.004979006428120239,0.03570913684836324,4.012930554007357e-05,0.05766135324935904,0.01228105376583807,0.0,0.0067952290714524575,0.0005335711366254226,0.18307583695611784,0.017536506521012147,0.06488165570542116,0.05942704269312228,0.0,0.1645881172667484,0.00014119570467803662
Wholesale trade,0.00439623897466998,0.0016756206259596765,0.001266078165829662,0.021648970163804907,0.0005520970627711407,0.03766220116387377,0.01889814956877233,0.0,0.017344546017954633,9.06067389668174e-05,0.03563865066028151,0.017361459275895105,0.18479546434745633,0.05789287384038476,0.0,0.05536796604784278,0.02683046754285397
