BEA_sector,date,v,u,U_monthly
Accommodation and food services,200012,556,602,4763
"Arts, entertainment, and recreation",200012,36,108,4763
Construction,200012,224,536,4763
Durable goods,200012,347,384,4763
Educational services,200012,61,34,4763
Finance and insurance,200012,272,129,4763
Government,200012,377,408,4763
Health care and social assistance,200012,782,292,4763
Information,200012,193,140,4763
Mining,200012,8,19,4763
Nondurable goods,200012,123,290,4763
"Other services, except government",200012,338,202,4763
Professional and business services,200012,827,574,4763
Real estate and rental and leasing,200012,72,92,4763
Retail trade,200012,542,639,4763
Transportation and warehousing,200012,93,170,4763
Wholesale trade,200012,239,144,4763
Accommodation and food services,200112,412,872,7298
"Arts, entertainment, and recreation",200112,56,166,7298
Construction,200112,119,724,7298
Durable goods,200112,139,792,7298
Educational services,200112,43,107,7298
Finance and insurance,200112,179,212,7298
Government,200112,447,469,7298
Health care and social assistance,200112,686,434,7298
Information,200112,106,258,7298
Mining,200112,16,26,7298
Nondurable goods,200112,83,407,7298
"Other services, except government",200112,201,334,7298
Professional and business services,200112,518,931,7298
Real estate and rental and leasing,200112,39,74,7298
Retail trade,200112,369,946,7298
Transportation and warehousing,200112,103,316,7298
Wholesale trade,200112,93,230,7298
Accommodation and food services,200101,598,640,5287
"Arts, entertainment, and recreation",200101,61,126,5287
Construction,200101,194,580,5287
Durable goods,200101,302,481,5287
Educational services,200101,32,77,5287
Finance and insurance,200101,238,167,5287
Government,200101,486,465,5287
Health care and social assistance,200101,747,341,5287
Information,200101,229,158,5287
Mining,200101,12,9,5287
Nondurable goods,200101,121,340,5287
"Other services, except government",200101,422,200,5287
Professional and business services,200101,686,634,5287
Real estate and rental and leasing,200101,30,74,5287
Retail trade,200101,496,683,5287
Transportation and warehousing,200101,190,161,5287
Wholesale trade,200101,238,151,5287
Accommodation and food services,200106,464,673,5644
"Arts, entertainment, and recreation",200106,59,87,5644
Construction,200106,192,555,5644
Durable goods,200106,235,623,5644
Educational services,200106,48,80,5644
Finance and insurance,200106,266,155,5644
Government,200106,559,445,5644
Health care and social assistance,200106,724,346,5644
Information,200106,114,173,5644
Mining,200106,18,24,5644
Nondurable goods,200106,111,347,5644
"Other services, except government",200106,240,233,5644
Professional and business services,200106,746,690,5644
Real estate and rental and leasing,200106,44,71,5644
Retail trade,200106,435,755,5644
Transportation and warehousing,200106,124,236,5644
Wholesale trade,200106,134,151,5644
Accommodation and food services,200110,381,767,6742
"Arts, entertainment, and recreation",200110,59,172,6742
Construction,200110,126,654,6742
Durable goods,200110,145,769,6742
Educational services,200110,56,79,6742
Finance and insurance,200110,187,213,6742
Government,200110,461,452,6742
Health care and social assistance,200110,716,429,6742
Information,200110,61,245,6742
Mining,200110,13,32,6742
Nondurable goods,200110,117,373,6742
"Other services, except government",200110,220,248,6742
Professional and business services,200110,510,926,6742
Real estate and rental and leasing,200110,57,72,6742
Retail trade,200110,362,827,6742
