,BEA_sector,date,vraw,uraw,eraw,U_monthly,v,u,e
0,Accommodation and food services,2000-12-01,556,602,10185.7,4763,0.004068881182083165,0.004405515236715945,0.07454029326680664
1,"Arts, entertainment, and recreation",2000-12-01,36,108,1790.4,4763,0.0002634527384082625,0.0007903582152247874,0.013102382856837588
2,Construction,2000-12-01,224,536,6792.0,4763,0.0016392614834291888,0.003922518549634131,0.04970474997969219
3,Durable goods,2000-12-01,347,384,10859.0,4763,0.0025393916729907523,0.0028101625430214665,0.0794675912882034
4,Educational services,2000-12-01,61,34,2440.1,4763,0.00044640602896955586,0.00024881647516335903,0.01785697297194448
5,Finance and insurance,2000-12-01,272,129,5709.6,4763,0.0019905318013068722,0.0009440389792962739,0.04178360431155043
6,Government,2000-12-01,377,408,20804.0,4763,0.0027589356216643044,0.002985797701960308,0.1522464102734859
7,Health care and social assistance,2000-12-01,782,292,12872.7,4763,0.005722778928757257,0.002136894433755907,0.09420411293633446
8,Information,2000-12-01,193,140,3705.0,4763,0.001412399403133185,0.001024538427143243,0.02711367766118368
9,Mining,2000-12-01,8,19,602.0,4763,5.854505297961388e-05,0.00013904450082658298,0.004405515236715945
10,Nondurable goods,2000-12-01,123,290,6319.0,4763,0.0009001301895615635,0.0021222581705110035,0.046243273722272514
11,"Other services, except government",2000-12-01,338,202,5196.0,4763,0.0024735284883886867,0.0014782625877352506,0.03802501191025922
12,Professional and business services,2000-12-01,827,574,16837.0,4763,0.006052094851767585,0.0042006075512872965,0.12321538212721987
13,Real estate and rental and leasing,2000-12-01,72,92,2033.8,4763,0.000526905476816525,0.0006732681092655597,0.014883616093742339
14,Retail trade,2000-12-01,542,639,15379.9,4763,0.003966427339368841,0.004676286106746659,0.11255213254014544
15,Transportation and warehousing,2000-12-01,93,170,4473.9,4763,0.0006805862408880114,0.001244082375816795,0.03274058906568682
16,Wholesale trade,2000-12-01,239,144,5883.8,4763,0.0017490334577659648,0.00105381095363305,0.04305842284018152
34,Accommodation and food services,2001-01-01,598,640,10178.4,5287,0.00436000201230862,0.0046662228894272855,0.0742104422777292
35,"Arts, entertainment, and recreation",2001-01-01,61,126,1798.5,5287,0.0004447493691485382,0.0009186626313559969,0.013112815416617147
36,Construction,2001-01-01,194,580,6824.0,5287,0.001414448813357646,0.004228764493543478,0.049753601558518434
37,Durable goods,2001-01-01,302,481,10813.0,5287,0.0022018739259485006,0.0035069581403351945,0.07883729391152694
38,Educational services,2001-01-01,32,77,2446.7,5287,0.0002333111444713643,0.0005614049413842203,0.017838824286815217
39,Finance and insurance,2001-01-01,238,167,5717.5,5287,0.001735251637005772,0.0012175925352099323,0.04168613964109454
40,Government,2001-01-01,486,465,20835.0,5287,0.0035434130066588454,0.0033903025680995123,0.15190742797065235
41,Health care and social assistance,2001-01-01,747,341,12912.2,5287,0.00544635702875341,0.002486221883272976,0.09414250498884845
42,Information,2001-01-01,229,158,3709.0,5287,0.0016696328776232008,0.0011519737758273613,0.02704221983888407
43,Mining,2001-01-01,12,9,605.0,5287,8.749167917676162e-05,6.561875938257121e-05,0.004411038825161731
44,Nondurable goods,2001-01-01,121,340,6301.0,5287,0.0008822077650323463,0.0024789309100082457,0.04594042254106458
45,"Other services, except government",2001-01-01,422,200,5204.0,5287,0.003076790717716117,0.0014581946529460268,0.03794222486965562
46,Professional and business services,2001-01-01,686,634,16828.0,5287,0.005001607659604872,0.004622477049838905,0.1226924980988787
47,Real estate and rental and leasing,2001-01-01,30,74,2037.3,5287,0.00021872919794190402,0.0005395320215900299,0.014853899832234702
48,Retail trade,2001-01-01,496,683,15360.3,5287,0.0036163227393061466,0.004979734739810682,0.11199153663823427
49,Transportation and warehousing,2001-01-01,190,161,4438.8,5287,0.0013852849202987255,0.0011738466956215516,0.03236317212748412
50,Wholesale trade,2001-01-01,238,151,5860.2,5287,0.001735251637005772,0.0011009369629742503,0.04272656152597153
204,Accommodation and food services,2001-02-01,569,647,10197.6,5275,0.004147103368555774,0.004715599085159201,0.07432425537993737
205,"Arts, entertainment, and recreation",2001-02-01,50,106,1799.0,5275,0.00036442033115604335,0.0007725711020508119,0.013111843514994441
206,Construction,2001-02-01,225,584,6841.0,5275,0.0016398914902021951,0.004256429467902586,0.049859989708769856
207,Durable goods,2001-02-01,290,487,10763.0,5275,0.0021136379207050515,0.0035494540254598626,0.0784451204846499
208,Educational services,2001-02-01,58,69,2457.6,5275,0.0004227275841410103,0.0005029000569953399,0.017911988116981845
209,Finance and insurance,2001-02-01,260,151,5732.4,5275,0.0018949857220114255,0.001100549400091251,0.04178006212637806
210,Government,2001-02-01,472,335,20906.0,5275,0.0034401279261130494,0.0024416162187454907,0.15237142886296487
